Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-18,"412,00","412,00","412,00","412,00","3,00",120,49.44,49.44
2014-11-20,"412,00","412,00","412,00","412,00","0,00",50,20.6,20.6
2014-12-23,"390,00","390,00","390,00","390,00","-5,34",7,2.73,2.73
2014-12-26,"410,00","410,00","410,00","410,00","5,13",8,3.28,3.28
2015-01-20,"410,00","410,00","410,00","410,00","0,00",20,8.2,8.2
2015-02-12,"410,00","410,00","410,00","410,00","0,00",21,8.61,8.61
2015-05-08,"398,00","398,00","398,00","398,00","-2,93",60,23.88,23.88
2015-05-13,"350,00","350,00","350,00","350,00","-12,06",79,27.65,27.65
2015-06-04,"350,00","350,00","350,00","350,00","0,00",600,210.0,210.0
2015-06-05,"400,00","400,00","400,00","400,00","14,29",12,4.8,4.8
2015-07-24,"351,00","351,00","351,00","351,00","-12,25",200,70.2,70.2
2015-09-09,"350,00","350,00","350,00","350,00","-0,28",60,21.0,21.0
2015-09-10,"350,00","350,00","350,00","350,00","0,00",77,26.95,26.95
2015-11-17,"450,00","450,00","450,00","450,00","28,57",120,54.0,54.0
2016-04-08,"350,00","350,00","350,00","350,00","-22,22",250,87.5,87.5
2016-04-19,"389,00","389,00","389,00","389,00","11,14",250,97.25,97.25
2016-04-20,"389,00","389,00","389,00","389,00","0,00",750,291.75,291.75
2016-04-22,"385,00","385,00","385,00","385,00","-1,03",362,139.37,139.37
2016-07-11,"385,00","385,00","385,00","385,00","0,00",500,192.5,192.5
2016-08-16,"374,00","374,00","374,00","374,00","-2,86",750,280.5,280.5
2016-08-17,"374,00","374,00","374,00","374,00","0,00",60,22.44,22.44
2016-10-12,"370,00","370,00","370,00","370,00","-1,07",50,18.5,18.5
2016-11-17,"395,00","395,00","395,00","395,00","6,76",6,2.37,2.37
2017-01-18,"391,00","391,00","391,00","391,00","-1,01",60,23.46,23.46
2017-01-23,"390,00","390,00","390,00","390,00","-0,26",60,23.4,23.4
2017-02-06,"421,00","421,00","421,00","421,00","7,95",13,5.473,5.473
2017-02-10,"421,00","421,00","421,00","421,00","0,00",8,3.368,3.368
2017-03-06,"452,00","452,00","452,00","452,00","7,36",202,91.304,91.304
2017-04-03,"465,00","465,00","465,00","465,00","2,88",238,110.67,110.67
2017-05-16,"400,00","400,00","400,00","400,00","-13,98",8,3.2,3.2
2017-07-12,"401,00","401,00","401,00","401,00","0,25",9,3.609,3.609
2017-09-21,"430,00","430,00","430,00","430,00","7,23",17,7.31,7.31
2017-10-04,"430,00","430,00","430,00","430,00","0,00",13,5.59,5.59
2017-10-05,"430,00","430,00","430,00","430,00","0,00",8,3.44,3.44
2017-10-16,"430,00","430,00","430,00","430,00","0,00",14,6.02,6.02
2017-11-02,"442,00","442,00","442,00","442,00","2,79",43,19.006,19.006
2017-11-22,"450,00","450,00","450,00","450,00","1,81",8,3.6,3.6
2017-12-07,"450,00","450,00","450,00","450,00","0,00",92,41.4,41.4
2018-01-15,"450,00","450,00","450,00","450,00","0,00",9,4.05,4.05
2018-01-31,"450,00","450,00","450,00","450,00","0,00",9,4.05,4.05
2018-02-08,"500,00","500,00","500,00","500,00","11,11",107,53.5,53.5
2018-02-12,"451,00","451,00","451,00","451,00","-9,80",8,3.608,3.608
2018-03-22,"450,00","450,00","450,00","450,00","-0,22",7,3.15,3.15
2018-03-29,"450,00","450,00","450,00","450,00","0,00",2,900.0,900.0
2018-04-24,"450,00","450,00","450,00","450,00","0,00",373,167.85,167.85
2018-06-14,"405,00","405,00","405,00","405,00","-10,00",13,5.265,5.265
2018-06-21,"463,00","463,00","463,00","463,00","14,32",10,4.63,4.63
2018-08-01,"463,00","463,00","463,00","463,00","0,00",8,3.704,3.704
2018-08-16,"511,00","511,00","511,00","511,00","10,37",125,63.875,63.875
2018-08-17,"511,00","511,00","511,00","511,00","0,00",50,25.55,25.55
2018-08-30,"526,00","526,00","526,00","526,00","2,94",13,6.838,6.838
2018-09-03,"526,00","526,00","526,00","526,00","0,00",7,3.682,3.682
2018-09-21,"526,00","526,00","526,00","526,00","0,00",30,15.78,15.78
2018-11-06,"550,00","550,00","550,00","550,00","4,56",4,2.2,2.2
2018-11-14,"550,00","550,00","550,00","550,00","0,00",61,33.55,33.55
2018-11-21,"550,00","550,00","550,00","550,00","0,00",58,31.9,31.9
2018-11-26,"550,00","550,00","550,00","550,00","0,00",9,4.95,4.95
