Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
19.08.2015,"7,00","7,00","7,00","7,00","-30,00",24,168.0,168.0
04.01.2016,"7,00","7,00","7,00","7,00","0,00",47,329.0,329.0
12.01.2016,"7,00","7,00","7,00","7,00","0,00",500,3.5,3.5
20.01.2017,"7,00","7,00","7,00","7,00","0,00",71.000,497.0,497.0
23.01.2017,"7,00","7,00","7,00","7,00","0,00",10.000,70.0,70.0
24.01.2017,"7,00","7,00","7,00","7,00","0,00",26.462,185.234,185.234
25.01.2017,"7,00","7,00","7,00","7,00","0,00",46.308,324.156,324.156
26.01.2017,"7,00","7,00","7,00","7,00","0,00",38.207,267.449,267.449
17.02.2017,"7,00","7,00","7,00","7,00","0,00",38.897,272.279,272.279
25.07.2017,"10,00","10,00","10,00","10,00","42,86",390,3.9,3.9
14.08.2017,"19,00","19,00","19,00","19,00","90,00",2.319,44.061,44.061
18.08.2017,"19,00","19,00","19,00","19,00","0,00",1.477,28.063,28.063
22.08.2017,"19,00","19,00","19,00","19,00","0,00",1.000,19.0,19.0
01.09.2017,"19,00","19,00","19,00","19,00","0,00",1.000,19.0,19.0
04.10.2017,"8,00","8,00","8,00","8,00","-57,89",36,288.0,288.0
07.03.2018,"8,00","8,00","8,00","8,00","0,00",1.000,8.0,8.0
29.05.2018,"10,00","10,00","10,00","10,00","25,00",2.000,20.0,20.0
16.08.2018,"10,00","10,00","10,00","10,00","0,00",600,6.0,6.0
28.09.2018,"10,00","10,00","10,00","10,00","0,00",51,510.0,510.0
06.02.2019,"10,00","10,00","10,00","10,00","0,00",200,2.0,2.0
14.02.2019,"10,00","10,00","10,00","10,00","0,00",43.174,431.74,431.74
19.03.2019,"12,00","12,00","12,00","12,00","20,00",36,432.0,432.0
09.04.2019,"12,00","12,00","12,00","12,00","0,00",17.350,208.2,208.2
07.05.2019,"12,00","12,00","12,00","12,00","0,00",13,156.0,156.0
23.08.2019,"12,00","12,00","12,00","12,00","0,00",33,396.0,396.0
04.09.2019,"12,00","12,00","12,00","12,00","0,00",960,11.52,11.52
18.09.2019,"12,00","12,00","12,00","12,00","0,00",37,444.0,444.0
30.10.2019,"20,00","20,00","20,00","20,00","66,67",13,260.0,260.0
10.03.2020,"17,00","17,00","17,00","17,00","-15,00",529,8.993,8.993
12.03.2020,"17,00","17,00","17,00","17,00","0,00",28,476.0,476.0
21.04.2020,"19,00","19,00","19,00","19,00","11,76",524,9.956,9.956
02.06.2020,"25,00","25,00","25,00","25,00","31,58",2.087,52.175,52.175
10.06.2020,"24,00","24,00","24,00","24,00","-4,00",228,5.472,5.472
16.07.2020,"28,00","28,00","28,00","28,00","16,67",12.125,339.5,339.5
17.07.2020,"28,00","28,00","28,00","28,00","0,00",12.900,361.2,361.2
28.09.2022,"28,00","28,00","28,00","28,00","0,00",34,952.0,952.0
26.10.2022,"28,00","28,00","28,00","28,00","0,00",96,2.688,2.688
22.12.2022,"20,00","20,00","20,00","20,00","-28,57",600,12.0,12.0
23.12.2022,"20,00","20,00","20,00","20,00","0,00",21.000,420.0,420.0
