Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-20,"104,00","104,00","104,00","104,00","2,97",159,16.536,16.536
2014-11-26,"100,00","100,00","100,00","100,00","-3,85",1.341,134.1,134.1
2014-12-02,"100,00","100,00","100,00","100,00","0,00",200,20.0,20.0
2014-12-04,"91,00","91,00","91,00","91,00","-9,00",109,9.919,9.919
2014-12-10,"81,00","81,00","81,00","81,00","-10,99",900,72.9,72.9
2014-12-11,"83,00","83,00","83,00","83,00","2,47",836,69.388,69.388
2014-12-16,"83,00","83,00","83,00","83,00","0,00",345,28.635,28.635
2014-12-18,"85,00","85,00","85,00","85,00","2,41",527,44.795,44.795
2014-12-24,"83,00","83,00","83,00","83,00","-2,35",255,21.165,21.165
2015-01-16,"83,00","83,00","83,00","83,00","0,00",575,47.725,47.725
2015-01-20,"85,00","85,00","85,00","85,00","2,41",300,25.5,25.5
2015-01-22,"85,00","85,00","85,00","85,00","0,00",100,8.5,8.5
2015-01-27,"85,00","85,00","85,00","85,00","0,00",114,9.69,9.69
2015-01-28,"85,00","85,00","85,00","85,00","0,00",295,25.075,25.075
2015-02-02,"87,00","87,00","87,00","87,00","2,35",454,39.498,39.498
2015-02-03,"87,00","87,00","87,00","87,00","0,00",246,21.402,21.402
2015-02-05,"84,00","84,00","84,00","84,00","-3,45",1.450,121.8,121.8
2015-02-12,"85,00","85,00","85,00","85,00","1,19",179,15.215,15.215
2015-02-18,"85,00","85,00","85,00","85,00","0,00",45,3.825,3.825
2015-02-19,"83,00","83,00","83,00","83,00","-2,35",286,23.738,23.738
2015-03-03,"82,00","82,00","82,00","82,00","-1,20",32,2.624,2.624
2015-03-13,"89,00","89,00","89,00","89,00","8,54",100,8.9,8.9
2015-04-09,"80,00","80,00","80,00","80,00","-10,11",229,18.32,18.32
2015-05-05,"85,00","85,00","85,00","85,00","6,25",250,21.25,21.25
2015-05-14,"85,00","85,00","85,00","85,00","0,00",300,25.5,25.5
2015-05-15,"88,00","88,00","88,00","88,00","3,53",60,5.28,5.28
2015-06-24,"75,00","75,00","75,00","75,00","-14,77",200,15.0,15.0
2015-06-25,"80,00","80,00","80,00","80,00","6,67",155,12.4,12.4
2015-07-15,"65,00","65,00","65,00","65,00","-18,75",40,2.6,2.6
2015-08-19,"68,00","68,00","68,00","68,00","4,62",30,2.04,2.04
2015-08-31,"61,00","61,00","61,00","61,00","-10,29",500,30.5,30.5
2015-09-21,"70,00","70,00","70,00","70,00","14,75",325,22.75,22.75
2015-09-25,"70,00","70,00","70,00","70,00","0,00",200,14.0,14.0
2015-10-06,"60,00","60,00","60,00","60,00","-14,29",307,18.42,18.42
2015-10-07,"60,00","60,00","60,00","60,00","0,00",336,20.16,20.16
2015-10-14,"83,00","83,00","83,00","83,00","38,33",1.600,132.8,132.8
2015-10-19,"85,00","85,00","85,00","85,00","2,41",1.367,116.195,116.195
2015-10-22,"85,00","85,00","85,00","85,00","0,00",400,34.0,34.0
2015-10-27,"85,00","85,00","85,00","85,00","0,00",894,75.99,75.99
2015-10-29,"85,00","85,00","85,00","85,00","0,00",620,52.7,52.7
2015-11-03,"99,00","99,00","99,00","99,00","16,47",50,4.95,4.95
2015-11-13,"85,00","85,00","85,00","85,00","-14,14",250,21.25,21.25
2015-11-16,"85,00","85,00","85,00","85,00","0,00",250,21.25,21.25
2015-11-17,"80,00","80,00","80,00","80,00","-5,88",174,13.92,13.92
2015-11-30,"80,00","80,00","80,00","80,00","0,00",560,44.8,44.8
2015-12-01,"80,00","80,00","80,00","80,00","0,00",40,3.2,3.2
2015-12-03,"80,00","80,00","80,00","80,00","0,00",150,12.0,12.0
2015-12-04,"80,00","80,00","80,00","80,00","0,00",500,40.0,40.0
2015-12-15,"80,00","80,00","80,00","80,00","0,00",148,11.84,11.84
2015-12-21,"75,00","75,00","75,00","75,00","-6,25",1.200,90.0,90.0
2015-12-23,"79,00","79,00","79,00","79,00","5,33",600,47.4,47.4
2015-12-28,"75,00","75,00","75,00","75,00","-5,06",207,15.525,15.525
2015-12-30,"81,00","81,00","80,00","80,23","6,97",2.563,205.64,205.64
2016-01-13,"80,00","80,00","80,00","80,00","-0,29",100,8.0,8.0
2016-01-20,"88,00","88,00","88,00","88,00","10,00",150,13.2,13.2
2016-01-25,"86,00","86,00","86,00","86,00","-2,27",206,17.716,17.716
2016-03-16,"84,00","84,00","84,00","84,00","-2,33",240,20.16,20.16
2016-05-17,"74,00","74,00","74,00","74,00","-11,90",10,740.0,0.0
2016-06-06,"65,00","65,00","65,00","65,00","-12,16",65,4.225,4.225
2016-06-08,"66,00","66,00","66,00","66,00","1,54",3.721,245.586,245.586
2016-07-01,"63,00","63,00","63,00","63,00","-4,55",935,58.905,58.905
2016-07-04,"65,00","65,00","65,00","65,00","3,17",965,62.725,62.725
2016-07-13,"65,00","65,00","65,00","65,00","0,00",17,1.105,1.105
2016-08-18,"67,00","67,00","67,00","67,00","3,08",1.500,100.5,100.5
2016-08-23,"80,00","80,00","80,00","80,00","19,40",662,52.96,52.96
2016-08-24,"81,00","81,00","81,00","81,00","1,25",827,66.987,66.987
2016-08-25,"86,00","86,00","86,00","86,00","6,17",550,47.3,47.3
