Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-17,"1.669,00","1.669,00","1.563,00","1.648,18","8,60",280,461.49,461.49
2014-11-19,"1.610,00","1.610,00","1.610,00","1.610,00","-2,94",30,48.3,48.3
2014-11-20,"1.600,00","1.600,00","1.600,00","1.600,00","-0,62",256,409.6,409.6
2014-11-21,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",84,134.4,134.4
2014-11-25,"1.645,00","1.645,00","1.645,00","1.645,00","2,81",23,37.835,37.835
2014-11-26,"1.600,00","1.600,00","1.600,00","1.600,00","-2,74",74,118.4,118.4
2014-11-27,"1.575,00","1.575,00","1.575,00","1.575,00","-1,56",66,103.95,103.95
2014-11-28,"1.622,00","1.622,00","1.622,00","1.622,00","2,98",28,45.416,45.416
2014-12-01,"1.622,00","1.622,00","1.622,00","1.622,00","0,00",10,16.22,16.22
2014-12-02,"1.575,00","1.575,00","1.575,00","1.575,00","-2,90",19,29.925,29.925
2014-12-04,"1.575,00","1.575,00","1.575,00","1.575,00","0,00",15,23.625,23.625
2014-12-05,"1.575,00","1.575,00","1.575,00","1.575,00","0,00",280,441.0,441.0
2014-12-09,"1.575,00","1.575,00","1.575,00","1.575,00","0,00",35,55.125,55.125
2014-12-12,"1.530,00","1.531,00","1.530,00","1.530,09","-2,85",164,250.934,250.934
2014-12-22,"1.500,00","1.500,00","1.500,00","1.500,00","-1,97",25,37.5,37.5
2014-12-23,"1.400,00","1.400,00","1.400,00","1.400,00","-6,67",19,26.6,26.6
2014-12-29,"1.410,00","1.410,00","1.400,00","1.407,27","0,52",139,195.61,195.61
2014-12-30,"1.400,00","1.400,00","1.400,00","1.400,00","-0,52",50,70.0,70.0
2015-01-02,"1.400,00","1.400,00","1.400,00","1.400,00","0,00",22,30.8,30.8
2015-01-13,"1.400,00","1.400,00","1.400,00","1.400,00","0,00",21,29.4,29.4
2015-01-16,"1.400,00","1.440,00","1.400,00","1.428,99","2,07",69,98.6,98.6
2015-01-20,"1.400,00","1.400,00","1.400,00","1.400,00","-2,03",10,14.0,14.0
2015-01-21,"1.400,00","1.400,00","1.400,00","1.400,00","0,00",50,70.0,70.0
2015-01-26,"1.380,00","1.380,00","1.380,00","1.380,00","-1,43",20,27.6,27.6
2015-01-27,"1.380,00","1.380,00","1.380,00","1.380,00","0,00",23,31.74,31.74
2015-01-30,"1.380,00","1.380,00","1.380,00","1.380,00","0,00",121,166.98,166.98
2015-02-03,"1.390,00","1.390,00","1.390,00","1.390,00","0,72",40,55.6,55.6
