Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-20,"70,00","70,00","70,00","70,00","0,00",420,29.4,29.4
2014-11-26,"70,00","70,00","70,00","70,00","0,00",263,18.41,18.41
2014-12-02,"70,00","70,00","70,00","70,00","0,00",304,21.28,21.28
2014-12-09,"70,00","70,00","70,00","70,00","0,00",350,24.5,24.5
2014-12-18,"70,00","70,00","70,00","70,00","0,00",620,43.4,43.4
2015-01-09,"70,00","70,00","70,00","70,00","0,00",250,17.5,17.5
2015-02-13,"70,00","70,00","70,00","70,00","0,00",670,46.9,46.9
2015-11-10,"70,00","70,00","70,00","70,00","0,00",270,18.9,18.9
2016-04-11,"70,00","70,00","70,00","70,00","0,00",182,12.74,12.74
2018-10-15,"70,00","70,00","70,00","70,00","0,00",300,21.0,21.0
2018-11-05,"70,00","70,00","70,00","70,00","0,00",250,17.5,17.5
2019-01-21,"70,00","70,00","70,00","70,00","0,00",300,21.0,21.0
2019-01-22,"70,00","70,00","70,00","70,00","0,00",450,31.5,31.5
2019-03-13,"70,00","70,00","70,00","70,00","0,00",313,21.91,21.91
2020-09-29,"70,00","70,00","70,00","70,00","0,00",234,16.38,16.38
2020-11-06,"70,00","70,00","70,00","70,00","0,00",320,22.4,22.4
2021-02-09,"70,00","70,00","70,00","70,00","0,00",4.082,285.74,285.74
2023-06-15,"70,00","70,00","70,00","70,00","0,00",234,16.38,16.38
