Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-12-02,"3.411,00","3.411,00","3.411,00","3.411,00","10,03",20,68.22,68.22
2015-02-26,"3.309,00","3.309,00","3.309,00","3.309,00","-2,99",8,26.472,26.472
2015-03-26,"3.210,00","3.210,00","3.210,00","3.210,00","-2,99",40,128.4,128.4
2015-04-21,"3.210,00","3.210,00","3.210,00","3.210,00","0,00",10,32.1,32.1
2015-04-28,"3.210,00","3.210,00","3.210,00","3.210,00","0,00",50,160.5,160.5
2015-05-08,"3.210,00","3.210,00","3.210,00","3.210,00","0,00",32,102.72,102.72
2015-05-28,"3.210,00","3.210,00","3.210,00","3.210,00","0,00",13,41.73,41.73
2016-07-12,"3.114,00","3.114,00","3.114,00","3.114,00","-2,99",12,37.368,37.368
2016-09-28,"3.114,00","3.114,00","3.114,00","3.114,00","0,00",30,93.42,93.42
2018-01-18,"6.100,00","6.100,00","6.100,00","6.100,00","95,89",13,79.3,79.3
2018-03-02,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",253,910.8,910.8
2018-04-02,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",60,216.0,216.0
2018-05-23,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",40,144.0,144.0
2018-06-28,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",79,284.4,284.4
2018-08-21,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",170,612.0,612.0
2018-09-26,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",10,36.0,36.0
2018-11-15,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",80,288.0,288.0
2019-03-07,"3.492,00","3.492,00","3.492,00","3.492,00","-3,00",20,69.84,69.84
2019-03-27,"3.500,00","3.500,00","3.500,00","3.500,00","0,23",40,140.0,140.0
2019-04-10,"3.500,00","3.500,00","3.500,00","3.500,00","0,00",220,770.0,770.0
2019-06-18,"3.400,00","3.400,00","3.400,00","3.400,00","-2,86",38,129.2,129.2
2019-07-10,"3.300,00","3.300,00","3.300,00","3.300,00","-2,94",300,990.0,990.0
2019-09-26,"3.201,00","3.201,00","3.201,00","3.201,00","-3,00",100,320.1,320.1
2019-10-17,"3.200,00","3.200,00","3.200,00","3.200,00","-0,03",100,320.0,320.0
2019-11-18,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",10,32.0,32.0
2021-02-24,"3.104,00","3.104,00","3.104,00","3.104,00","-3,00",100,310.4,310.4
2021-03-23,"3.011,00","3.011,00","3.011,00","3.011,00","-3,00",10,30.11,0.0
2021-04-23,"3.100,00","3.100,00","3.100,00","3.100,00","2,96",300,930.0,930.0
2022-08-08,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",200,620.0,620.0
2022-10-03,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",6,18.6,18.6
2022-10-06,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",206,638.6,638.6
2022-10-27,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",24,74.4,74.4
2023-01-16,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",70,217.0,217.0
2023-04-11,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",308,954.8,954.8
2023-05-15,"3.106,00","3.106,00","3.106,00","3.106,00","0,19",100,310.6,310.6
2023-08-11,"3.103,00","3.103,00","3.103,00","3.103,00","-0,10",156,484.068,484.068
2023-09-05,"3.100,00","3.100,00","3.100,00","3.100,00","-0,10",50,155.0,155.0
2023-10-17,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",271,840.1,840.1
2024-08-06,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",113,350.3,350.3
2024-09-16,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",127,393.7,393.7
