Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-24,"308,00","308,00","308,00","308,00","0,00",818,251.944,251.944
2014-12-02,"308,00","308,00","308,00","308,00","0,00",493,151.844,151.844
2014-12-12,"308,00","308,00","308,00","308,00","0,00",719,221.452,221.452
2014-12-17,"308,00","308,00","308,00","308,00","0,00",706,217.448,217.448
2015-01-22,"308,00","308,00","308,00","308,00","0,00",400,123.2,123.2
2015-02-24,"308,00","308,00","308,00","308,00","0,00",360,110.88,110.88
2015-03-04,"308,00","308,00","308,00","308,00","0,00",40,12.32,12.32
2015-03-06,"308,00","308,00","308,00","308,00","0,00",65,20.02,20.02
2015-03-17,"308,00","308,00","308,00","308,00","0,00",4,1.232,1.232
2015-03-30,"308,00","308,00","308,00","308,00","0,00",150,46.2,46.2
2015-03-31,"308,00","308,00","308,00","308,00","0,00",181,55.748,55.748
2015-04-15,"300,00","300,00","300,00","300,00","-2,60",52,15.6,15.6
2015-05-21,"308,00","308,00","308,00","308,00","2,67",669,206.052,206.052
2015-06-02,"300,00","300,00","300,00","300,00","-2,60",20,6.0,6.0
2015-06-12,"308,00","308,00","308,00","308,00","2,67",800,246.4,246.4
2015-11-27,"308,00","308,00","308,00","308,00","0,00",130,40.04,40.04
2015-12-01,"308,00","308,00","308,00","308,00","0,00",381,117.348,117.348
2015-12-10,"308,00","308,00","308,00","308,00","0,00",200,61.6,61.6
2016-06-07,"256,00","256,00","256,00","256,00","-16,88",506,129.536,129.536
2016-06-09,"160,00","160,00","160,00","160,00","-37,50",260,41.6,41.6
2016-07-18,"160,00","160,00","160,00","160,00","0,00",300,48.0,48.0
2016-07-22,"256,00","256,00","256,00","256,00","60,00",26,6.656,6.656
2016-09-12,"256,00","256,00","256,00","256,00","0,00",240,61.44,61.44
2016-10-18,"263,00","263,00","263,00","263,00","2,73",20,5.26,5.26
2016-10-19,"270,00","270,00","270,00","270,00","2,66",20,5.4,5.4
2016-10-21,"308,00","308,00","308,00","308,00","14,07",60,18.48,18.48
2016-10-27,"320,00","320,00","320,00","320,00","3,90",5,1.6,1.6
2016-11-29,"320,00","320,00","320,00","320,00","0,00",995,318.4,318.4
2016-12-06,"256,00","256,00","256,00","256,00","-20,00",2,512.0,512.0
2016-12-07,"205,00","205,00","205,00","205,00","-19,92",1.605,329.025,329.025
2016-12-09,"199,00","199,00","199,00","199,00","-2,93",2.031,404.169,404.169
2016-12-26,"184,00","184,00","184,00","184,00","-7,54",3.026,556.784,556.784
2017-05-04,"179,00","179,00","179,00","179,00","-2,72",609,109.011,109.011
2017-05-09,"174,00","174,00","174,00","174,00","-2,79",200,34.8,34.8
2017-05-29,"170,00","170,00","170,00","170,00","-2,30",577,98.09,98.09
2017-07-05,"170,00","170,00","170,00","170,00","0,00",150,25.5,25.5
2017-10-13,"170,00","170,00","170,00","170,00","0,00",400,68.0,68.0
2017-10-26,"170,00","170,00","170,00","170,00","0,00",75,12.75,12.75
2017-10-31,"170,00","170,00","170,00","170,00","0,00",400,68.0,68.0
2017-12-04,"170,00","170,00","170,00","170,00","0,00",1.024,174.08,174.08
2018-03-08,"170,00","170,00","170,00","170,00","0,00",323,54.91,54.91
2018-09-13,"170,00","170,00","170,00","170,00","0,00",4.182,710.94,710.94
2018-12-14,"170,00","170,00","170,00","170,00","0,00",3.249,552.33,552.33
2018-12-20,"170,00","170,00","170,00","170,00","0,00",712,121.04,121.04
2019-01-03,"120,00","120,00","120,00","120,00","-29,41",20,2.4,2.4
2019-01-04,"120,00","120,00","120,00","120,00","0,00",621,74.52,74.52
2019-01-23,"182,00","182,00","182,00","182,00","51,67",100,18.2,18.2
2019-02-07,"180,00","180,00","180,00","180,00","-1,10",356,64.08,64.08
2019-03-13,"180,00","180,00","180,00","180,00","0,00",1.638,294.84,294.84
2019-04-01,"180,00","180,00","180,00","180,00","0,00",311,55.98,55.98
2019-04-04,"180,00","180,00","180,00","180,00","0,00",201,36.18,36.18
2019-04-12,"180,00","180,00","180,00","180,00","0,00",243,43.74,43.74
2019-04-16,"180,00","180,00","180,00","180,00","0,00",1.574,283.32,283.32
2019-05-28,"198,00","198,00","198,00","198,00","10,00",4,792.0,792.0
2019-05-29,"253,00","253,00","253,00","253,00","27,78",5,1.265,1.265
2019-05-30,"311,00","311,00","311,00","311,00","22,92",5,1.555,1.555
2019-06-24,"302,00","302,00","302,00","302,00","-2,89",442,133.484,133.484
2019-12-06,"293,00","293,00","293,00","293,00","-2,98",100,29.3,29.3
2021-09-09,"335,00","335,00","335,00","335,00","14,33",10,3.35,3.35
2022-03-14,"309,00","309,00","309,00","309,00","-7,76",5,1.545,1.545
2024-01-30,"309,00","309,00","309,00","309,00","0,00",1.090,336.81,336.81
2024-02-07,"309,00","309,00","309,00","309,00","0,00",439,135.651,135.651
