Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2015-02-11,"2.001,00","2.001,00","2.001,00","2.001,00","29,10",20,40.02,40.02
2015-09-29,"2.000,00","2.000,00","2.000,00","2.000,00","-0,05",136,272.0,272.0
2015-10-07,"2.001,00","2.001,00","2.001,00","2.001,00","0,05",9,18.009,18.009
2015-10-20,"2.001,00","2.001,00","2.001,00","2.001,00","0,00",10,20.01,20.01
2015-11-11,"2.071,00","2.071,00","2.071,00","2.071,00","3,50",170,352.07,352.07
2015-11-18,"2.071,00","2.071,00","2.071,00","2.071,00","0,00",100,207.1,207.1
2015-12-21,"2.071,00","2.071,00","2.071,00","2.071,00","0,00",172,356.212,356.212
2016-01-18,"2.485,00","2.485,00","2.485,00","2.485,00","19,99",205,509.425,509.425
2016-08-16,"2.485,00","2.485,00","2.485,00","2.485,00","0,00",34,84.49,84.49
2016-10-03,"2.485,00","2.485,00","2.485,00","2.485,00","0,00",177,439.845,439.845
2016-10-28,"2.982,00","2.982,00","2.982,00","2.982,00","0,00",14,41.748,41.748
2016-11-18,"3.578,00","3.578,00","3.578,00","3.578,00","19,99",10,35.78,35.78
2016-12-01,"3.500,00","3.500,00","3.500,00","3.500,00","-2,18",42,147.0,147.0
2016-12-09,"3.500,00","3.500,00","3.500,00","3.500,00","0,00",26,91.0,91.0
2016-12-13,"3.500,00","3.500,00","3.500,00","3.500,00","0,00",94,329.0,329.0
2017-01-10,"3.500,00","3.500,00","3.500,00","3.500,00","0,00",6,21.0,21.0
2017-02-03,"3.500,00","3.500,00","3.500,00","3.500,00","0,00",9,31.5,31.5
2017-04-21,"3.500,00","3.500,00","3.500,00","3.500,00","0,00",30,105.0,105.0
2017-04-26,"3.500,00","3.500,00","3.500,00","3.500,00","0,00",96,336.0,336.0
2017-05-04,"3.500,00","3.500,00","3.500,00","3.500,00","0,00",15,52.5,52.5
2017-05-08,"3.400,00","3.400,00","3.400,00","3.400,00","-2,86",5,17.0,17.0
2017-05-11,"3.300,00","3.300,00","3.300,00","3.300,00","-2,94",9,29.7,29.7
2017-05-12,"3.399,00","3.399,00","3.399,00","3.399,00","3,00",100,339.9,339.9
2017-05-17,"3.298,00","3.298,00","3.298,00","3.298,00","-2,97",10,32.98,32.98
2019-08-05,"3.298,00","3.298,00","3.298,00","3.298,00","0,00",10,32.98,32.98
2019-10-03,"3.515,00","3.515,00","3.515,00","3.515,00","6,58",70,246.05,246.05
2019-10-16,"4.159,00","4.159,00","4.159,00","4.159,00","18,32",20,83.18,83.18
2019-10-21,"4.900,00","4.900,00","4.900,00","4.900,00","17,82",5,24.5,24.5
2019-10-25,"5.850,00","5.850,00","5.850,00","5.850,00","19,39",50,292.5,292.5
2019-10-28,"6.600,00","6.600,00","6.600,00","6.600,00","12,82",35,231.0,231.0
2019-11-05,"7.000,00","7.000,00","7.000,00","7.000,00","6,06",26,182.0,182.0
2019-11-18,"7.210,00","7.210,00","7.210,00","7.210,00","3,00",40,288.4,288.4
2019-11-27,"7.600,00","7.600,00","7.600,00","7.600,00","2,70",40,304.0,304.0
2019-11-29,"7.800,00","7.800,00","7.800,00","7.800,00","2,63",128,998.4,998.4
2019-12-10,"8.211,00","8.211,00","8.211,00","8.211,00","5,27",50,410.55,410.55
2019-12-12,"8.440,00","8.440,00","8.440,00","8.440,00","2,79",20,168.8,168.8
2019-12-16,"8.600,00","8.600,00","8.600,00","8.600,00","1,90",72,619.2,619.2
2019-12-18,"8.800,00","8.800,00","8.800,00","8.800,00","2,33",40,352.0,352.0
2019-12-19,"9.060,00","9.060,00","9.060,00","9.060,00","2,95",15,135.9,135.9
2019-12-20,"9.200,00","9.200,00","9.200,00","9.200,00","1,55",4,36.8,36.8
2019-12-23,"9.200,00","9.200,00","9.200,00","9.200,00","0,00",10,92.0,92.0
2019-12-25,"9.476,00","9.476,00","9.476,00","9.476,00","3,00",25,236.9,236.9
2020-01-14,"9.476,00","9.476,00","9.476,00","9.476,00","0,00",75,710.7,710.7
2021-07-06,"2.500,00","2.500,00","2.500,00","2.500,00","-73,62",11,27.5,27.5
2021-07-12,"5.500,00","5.500,00","5.500,00","5.500,00","120,00",2,11.0,11.0
2021-08-26,"5.665,00","5.665,00","5.665,00","5.665,00","3,00",1,5.665,5.665
2024-05-28,"4.000,00","4.000,00","4.000,00","4.000,00","-29,39",10,40.0,40.0
