Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-17,"375,00","400,00","375,00","383,21","-7,54",329,126.075,126.075
2014-11-18,"399,00","399,00","388,00","389,65","1,68",40,15.586,15.586
2014-11-19,"378,00","378,00","378,00","378,00","-2,99",200,75.6,75.6
2014-11-24,"341,00","341,00","341,00","341,00","-9,79",1.791,610.731,610.731
2014-11-25,"340,00","340,00","335,00","337,53","-1,02",790,266.65,266.65
2014-11-28,"369,00","371,00","369,00","370,18","9,67",170,62.93,62.93
2014-12-01,"360,00","360,00","360,00","360,00","-2,75",312,112.32,112.32
2014-12-02,"350,00","350,00","350,00","350,00","-2,78",732,256.2,256.2
2014-12-04,"345,00","345,00","345,00","345,00","-1,43",1.555,536.475,536.475
2014-12-05,"350,00","350,00","345,00","347,25","0,65",1.888,655.6,655.6
2014-12-09,"359,00","359,00","359,00","359,00","3,38",30,10.77,10.77
2014-12-10,"350,00","350,00","350,00","350,00","-2,51",282,98.7,98.7
2014-12-11,"360,00","360,00","360,00","360,00","2,86",170,61.2,61.2
2014-12-12,"375,00","375,00","360,00","361,27","0,35",415,149.925,149.925
2014-12-15,"372,00","372,00","351,00","351,96","-2,58",524,184.428,184.428
2014-12-16,"360,00","360,00","360,00","360,00","2,28",200,72.0,72.0
2014-12-17,"370,00","370,00","370,00","370,00","2,78",50,18.5,18.5
2014-12-18,"361,00","370,00","361,00","366,38","-0,98",271,99.289,99.289
2014-12-22,"372,00","372,00","370,00","370,24","1,05",286,105.888,105.888
2014-12-23,"370,00","370,00","370,00","370,00","-0,06",866,320.42,320.42
2014-12-24,"370,00","370,00","370,00","370,00","0,00",49,18.13,18.13
2014-12-25,"370,00","370,00","370,00","370,00","0,00",178,65.86,65.86
2014-12-26,"369,00","369,00","369,00","369,00","-0,27",222,81.918,81.918
2014-12-29,"375,00","375,00","370,00","373,70","1,27",1.177,439.845,439.845
2014-12-30,"394,00","394,00","379,00","380,83","1,91",530,201.84,201.84
2015-01-05,"380,00","380,00","380,00","380,00","-0,22",200,76.0,76.0
2015-01-08,"380,00","380,00","380,00","380,00","0,00",257,97.66,97.66
2015-01-09,"391,00","391,00","391,00","391,00","2,89",160,62.56,62.56
2015-01-12,"380,00","381,00","380,00","380,41","-2,71",242,92.06,92.06
2015-01-13,"380,00","382,00","380,00","380,67","0,07",225,85.65,85.65
2015-01-14,"380,00","380,00","380,00","380,00","-0,18",250,95.0,95.0
2015-01-22,"380,00","380,00","380,00","380,00","0,00",600,228.0,228.0
2015-01-23,"379,00","379,00","379,00","379,00","-0,26",83,31.457,31.457
2015-01-26,"380,00","380,00","380,00","380,00","0,26",52,19.76,19.76
2015-01-27,"375,00","375,00","375,00","375,00","-1,32",530,198.75,198.75
2015-01-28,"375,00","375,00","375,00","375,00","0,00",637,238.875,238.875
2015-01-29,"375,00","375,00","375,00","375,00","0,00",143,53.625,53.625
2015-02-02,"380,00","380,00","380,00","380,00","1,33",30,11.4,11.4
2015-02-04,"378,00","378,00","378,00","378,00","-0,53",650,245.7,245.7
2015-02-06,"370,00","370,00","370,00","370,00","-2,12",70,25.9,25.9
2015-02-09,"378,00","378,00","378,00","378,00","2,16",400,151.2,151.2
2015-02-11,"378,00","378,00","371,00","373,33","1,10",150,56.0,56.0
2015-02-13,"371,00","371,00","371,00","371,00","2,78",50,18.55,18.55
2015-02-16,"378,00","378,00","376,00","376,78","1,56",493,185.754,185.754
2015-02-17,"375,00","375,00","375,00","375,00","-0,47",100,37.5,37.5
2015-02-19,"366,00","366,00","366,00","366,00","-2,40",153,55.998,55.998
2015-02-20,"375,00","375,00","375,00","375,00","2,46",45,16.875,16.875
2015-02-25,"373,00","373,00","373,00","373,00","-0,53",50,18.65,18.65
2015-03-04,"351,00","351,00","351,00","351,00","-5,90",80,28.08,28.08
2015-03-05,"364,00","364,00","364,00","364,00","3,70",20,7.28,7.28
2015-03-09,"337,00","347,00","337,00","340,97","-6,33",520,177.305,177.305
2015-03-23,"340,00","340,00","340,00","340,00","-0,28",200,68.0,68.0
2015-03-30,"340,00","340,00","330,00","338,39","-0,47",900,304.55,304.55
2015-03-31,"320,00","321,00","320,00","320,05","-5,42",950,304.05,304.05
2015-04-01,"320,00","320,00","320,00","320,00","-0,02",500,160.0,160.0
2015-04-06,"290,00","290,00","290,00","290,00","-9,38",730,211.7,211.7
2015-04-07,"310,00","310,00","310,00","310,00","6,90",12,3.72,3.72
2015-04-08,"301,00","301,00","301,00","301,00","-2,90",447,134.547,134.547
2015-04-09,"310,00","312,00","309,00","310,06","3,01",1.728,535.78,535.78
2015-04-15,"315,00","315,00","315,00","315,00","1,59",100,31.5,31.5
2015-04-21,"340,00","340,00","340,00","340,00","-2,87",487,165.58,165.58
2015-04-23,"330,00","340,00","330,00","338,60","-0,41",286,96.84,96.84
2015-05-04,"330,00","332,00","330,00","330,50","0,10",200,66.1,66.1
2015-05-05,"330,00","330,00","330,00","330,00","-0,15",2.000,660.0,660.0
2015-05-06,"320,00","320,00","320,00","320,00","-3,03",2.100,672.0,672.0
2015-05-07,"311,00","311,00","311,00","311,00","-2,81",600,186.6,186.6
2015-05-13,"310,00","310,00","310,00","310,00","3,33",1.300,403.0,403.0
2015-05-15,"330,00","330,00","319,00","326,59","5,35",870,284.13,284.13
2015-05-18,"330,00","330,00","330,00","330,00","1,04",909,299.97,299.97
2015-05-19,"330,00","330,00","330,00","330,00","0,00",450,148.5,148.5
2015-05-22,"335,00","335,00","334,00","334,33","1,31",300,100.3,100.3
2015-05-26,"330,00","330,00","330,00","330,00","-1,30",500,165.0,165.0
2015-05-28,"323,00","323,00","321,00","321,42","-2,60",600,192.85,192.85
2015-06-01,"323,00","323,00","323,00","323,00","0,49",200,64.6,64.6
2015-06-03,"323,00","323,00","323,00","323,00","0,00",70,22.61,22.61
2015-06-05,"330,00","330,00","330,00","330,00","2,17",680,224.4,224.4
2015-06-08,"331,00","331,00","331,00","331,00","0,30",65,21.515,21.515
2015-06-09,"331,00","331,00","331,00","331,00","0,00",200,66.2,66.2
2015-06-11,"330,00","330,00","330,00","330,00","-0,30",596,196.68,196.68
