Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-19,"390,00","390,00","390,00","390,00","-11,36",250,97.5,97.5
2014-11-25,"379,00","379,00","379,00","379,00","-2,82",91,34.489,34.489
2014-12-01,"390,00","390,00","390,00","390,00","2,90",197,76.83,76.83
2014-12-11,"379,00","379,00","379,00","379,00","-2,82",144,54.576,54.576
2014-12-16,"379,00","379,00","379,00","379,00","0,00",100,37.9,37.9
2014-12-18,"380,00","380,00","380,00","380,00","0,26",366,139.08,139.08
2014-12-22,"380,00","380,00","380,00","380,00","0,00",120,45.6,45.6
2014-12-23,"380,00","380,00","380,00","380,00","0,00",74,28.12,28.12
2015-01-13,"380,00","380,00","380,00","380,00","0,00",6,2.28,2.28
2015-01-23,"385,00","385,00","385,00","385,00","1,32",12,4.62,4.62
2015-01-28,"385,00","386,00","385,00","385,60","0,16",182,70.18,70.18
2015-01-30,"390,00","390,00","390,00","390,00","1,14",230,89.7,89.7
2015-02-02,"390,00","390,00","390,00","390,00","0,00",80,31.2,31.2
2015-02-06,"381,00","381,00","381,00","381,00","-2,31",10,3.81,3.81
2015-02-12,"380,00","381,00","380,00","380,18","-0,22",71,26.993,26.993
2015-02-18,"380,00","380,00","380,00","380,00","-0,05",221,83.98,83.98
2015-02-19,"380,00","380,00","380,00","380,00","0,00",234,88.92,88.92
2015-02-27,"380,00","380,00","380,00","380,00","0,00",66,25.08,25.08
2015-03-03,"380,00","380,00","380,00","380,00","0,00",234,88.92,88.92
2015-03-05,"380,00","382,00","380,00","380,05","0,01",435,165.32,165.32
2015-03-06,"390,00","390,00","390,00","390,00","2,62",47,18.33,18.33
2015-03-11,"380,00","380,00","380,00","380,00","-2,56",80,30.4,30.4
2015-03-16,"380,00","380,00","380,00","380,00","0,00",60,22.8,22.8
2015-03-17,"380,00","380,00","380,00","380,00","0,00",340,129.2,129.2
2015-03-18,"380,00","380,00","380,00","380,00","0,00",190,72.2,72.2
2015-04-29,"369,00","369,00","369,00","369,00","-2,89",200,73.8,73.8
2015-05-08,"350,00","350,00","350,00","350,00","-5,15",417,145.95,145.95
2015-05-11,"350,00","350,00","350,00","350,00","0,00",123,43.05,43.05
2015-05-12,"330,00","330,00","330,00","330,00","-5,71",10,3.3,3.3
2015-05-21,"331,00","331,00","331,00","331,00","0,30",25,8.275,8.275
2015-05-22,"330,00","330,00","330,00","330,00","-0,30",9,2.97,2.97
2015-06-02,"330,00","330,00","330,00","330,00","0,00",9,2.97,2.97
2015-06-05,"330,00","330,00","330,00","330,00","0,00",15,4.95,4.95
2015-06-10,"330,00","330,00","330,00","330,00","0,00",6,1.98,1.98
2015-06-11,"330,00","330,00","330,00","330,00","0,00",46,15.18,15.18
2015-06-16,"330,00","330,00","330,00","330,00","0,00",501,165.33,165.33
2015-06-17,"331,00","331,00","331,00","331,00","0,30",98,32.438,32.438
2015-07-07,"330,00","330,00","330,00","330,00","-0,30",200,66.0,66.0
2015-07-10,"330,00","330,00","330,00","330,00","0,00",294,97.02,97.02
2015-07-24,"300,00","300,00","300,00","300,00","-9,09",6,1.8,1.8
2015-07-29,"300,00","300,00","300,00","300,00","0,00",103,30.9,30.9
2015-07-31,"305,00","305,00","305,00","305,00","1,67",123,37.515,37.515
2015-08-06,"330,00","330,00","330,00","330,00","8,20",706,232.98,232.98
2015-08-12,"330,00","330,00","330,00","330,00","0,00",498,164.34,164.34
2015-09-02,"335,00","335,00","335,00","335,00","1,52",179,59.965,59.965
2015-09-10,"335,00","335,00","335,00","335,00","0,00",210,70.35,70.35
2015-09-14,"330,00","330,00","330,00","330,00","-1,49",70,23.1,23.1
2015-09-22,"330,00","330,00","330,00","330,00","0,00",289,95.37,95.37
2015-09-24,"339,00","339,00","339,00","339,00","2,73",83,28.137,28.137
2015-09-25,"340,00","340,00","340,00","340,00","0,29",138,46.92,46.92
2015-09-30,"350,00","350,00","350,00","350,00","2,94",30,10.5,10.5
2015-10-15,"340,00","340,00","340,00","340,00","-2,86",191,64.94,64.94
2015-10-21,"332,00","332,00","332,00","332,00","-2,35",143,47.476,47.476
2015-10-30,"340,00","340,00","340,00","340,00","2,41",631,214.54,214.54
2015-11-02,"350,00","350,00","350,00","350,00","2,94",200,70.0,70.0
2015-11-06,"340,00","340,00","340,00","340,00","-2,86",27,9.18,9.18
2015-11-17,"335,00","335,00","335,00","335,00","-1,47",300,100.5,100.5
2015-11-24,"340,00","340,00","340,00","340,00","1,49",61,20.74,20.74
2015-12-04,"331,00","331,00","331,00","331,00","-2,65",150,49.65,49.65
2015-12-09,"331,00","331,00","331,00","331,00","0,00",82,27.142,27.142
2015-12-14,"340,00","340,00","340,00","340,00","2,72",177,60.18,60.18
2015-12-23,"340,00","340,00","340,00","340,00","0,00",192,65.28,65.28
2015-12-25,"349,00","349,00","348,00","348,18","2,41",215,74.858,74.858
2015-12-28,"350,00","350,00","349,00","349,85","0,48",712,249.091,249.091
2015-12-29,"360,00","360,00","360,00","360,00","2,90",198,71.28,71.28
2015-12-30,"350,00","350,00","350,00","350,00","-2,78",74,25.9,25.9
2016-01-12,"360,00","360,00","360,00","360,00","2,86",200,72.0,72.0
2016-01-14,"370,00","370,00","370,00","370,00","2,78",200,74.0,74.0
2016-01-28,"370,00","370,00","370,00","370,00","0,00",113,41.81,41.81
2016-01-29,"371,00","371,00","371,00","371,00","0,27",4,1.484,1.484
2016-02-02,"371,00","373,00","371,00","371,93","0,25",206,76.618,76.618
2016-02-03,"370,00","370,00","370,00","370,00","-0,52",3,1.11,1.11
2016-02-05,"370,00","370,00","370,00","370,00","0,00",4,1.48,1.48
2016-02-09,"371,00","375,00","371,00","373,55","0,96",141,52.671,52.671
2016-02-16,"371,00","371,00","371,00","371,00","-0,68",99,36.729,36.729
2016-02-19,"370,00","370,00","370,00","370,00","-0,27",13,4.81,4.81
2016-02-22,"370,00","370,00","370,00","370,00","0,00",9,3.33,3.33
2016-02-23,"370,00","370,00","370,00","370,00","0,00",15,5.55,5.55
2016-03-10,"370,00","370,00","370,00","370,00","0,00",4,1.48,1.48
2016-03-16,"370,00","370,00","370,00","370,00","0,00",152,56.24,56.24
2016-03-21,"370,00","370,00","369,00","369,08","-0,25",50,18.454,18.454
