Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-17,"84,00","84,00","84,00","84,00","-2,33",15,1.26,1.26
2014-11-19,"82,00","82,00","82,00","82,00","-2,38",1.550,127.1,127.1
2014-11-20,"81,00","81,00","81,00","81,00","-1,22",706,57.186,57.186
2014-11-21,"83,00","83,00","83,00","83,00","2,47",100,8.3,8.3
2014-11-24,"81,00","81,00","81,00","81,00","-2,41",600,48.6,48.6
2014-11-25,"79,00","80,00","79,00","79,91","-1,35",3.533,282.307,282.307
2014-11-27,"78,00","78,00","78,00","78,00","-2,39",500,39.0,39.0
2014-12-02,"80,00","80,00","78,00","79,99","2,55",402,32.156,32.156
2014-12-04,"78,00","78,00","78,00","78,00","-2,49",300,23.4,23.4
2014-12-05,"78,00","78,00","78,00","78,00","0,00",1.752,136.656,136.656
2014-12-09,"74,00","74,00","74,00","74,00","-5,13",357,26.418,26.418
2014-12-11,"80,00","80,00","80,00","80,00","8,11",500,40.0,40.0
2014-12-12,"80,00","80,00","80,00","80,00","0,00",200,16.0,16.0
2014-12-16,"78,00","78,00","78,00","78,00","-2,50",502,39.156,39.156
2014-12-17,"78,00","78,00","78,00","78,00","0,00",159,12.402,12.402
2014-12-18,"78,00","78,00","78,00","78,00","0,00",1.317,102.726,102.726
2014-12-19,"78,00","80,00","78,00","79,16","1,49",862,68.24,68.24
2014-12-22,"78,00","78,00","78,00","78,00","-1,47",486,37.908,37.908
2014-12-23,"78,00","78,00","78,00","78,00","0,00",1.000,78.0,78.0
2014-12-24,"78,00","79,00","78,00","78,84","1,08",595,46.91,46.91
2014-12-25,"78,00","78,00","78,00","78,00","-1,07",530,41.34,41.34
2014-12-26,"80,00","80,00","80,00","80,00","2,56",340,27.2,27.2
2014-12-29,"82,00","82,00","82,00","82,00","2,50",100,8.2,8.2
2015-01-05,"82,00","82,00","82,00","82,00","0,00",540,44.28,44.28
2015-01-08,"80,00","80,00","80,00","80,00","-2,44",300,24.0,24.0
2015-01-09,"82,00","82,00","82,00","82,00","2,50",500,41.0,41.0
2015-01-12,"83,00","83,00","82,00","82,93","1,13",700,58.05,58.05
2015-01-15,"85,00","85,00","85,00","85,00","2,50",150,12.75,12.75
2015-01-16,"83,00","83,00","83,00","83,00","-2,35",874,72.542,72.542
2015-01-21,"81,00","81,00","81,00","81,00","-2,41",430,34.83,34.83
2015-01-26,"82,00","83,00","82,00","82,55","1,91",1.096,90.472,90.472
2015-01-27,"83,00","83,00","83,00","83,00","0,55",118,9.794,9.794
2015-01-29,"81,00","81,00","81,00","81,00","-2,41",200,16.2,16.2
2015-01-30,"82,00","82,00","82,00","82,00","1,23",290,23.78,23.78
2015-02-02,"82,00","84,00","82,00","83,46","1,78",1.292,107.833,107.833
2015-02-03,"81,00","81,00","81,00","81,00","-2,95",2.919,236.439,236.439
2015-02-11,"80,00","80,00","80,00","80,00","-1,23",300,24.0,24.0
2015-02-12,"80,00","80,00","80,00","80,00","0,00",1.995,159.6,159.6
2015-02-13,"79,00","79,00","79,00","79,00","-1,25",163,12.877,12.877
2015-02-16,"77,00","77,00","77,00","77,00","-2,53",2.585,199.045,199.045
2015-02-17,"75,00","75,00","75,00","75,00","-2,60",900,67.5,67.5
2015-02-18,"76,00","76,00","76,00","76,00","1,33",200,15.2,15.2
2015-02-23,"76,00","77,00","76,00","76,37","0,49",2.465,188.24,188.24
2015-02-24,"76,00","76,00","76,00","76,00","-0,48",120,9.12,9.12
2015-02-26,"78,00","78,00","78,00","78,00","2,63",180,14.04,14.04
2015-02-27,"78,00","78,00","78,00","78,00","0,00",302,23.556,23.556
2015-03-02,"76,00","76,00","76,00","76,00","-2,56",50,3.8,3.8
2015-03-03,"76,00","76,00","76,00","76,00","0,00",60,4.56,4.56
2015-03-04,"76,00","76,00","76,00","76,00","0,00",140,10.64,10.64
2015-03-10,"74,00","74,00","74,00","74,00","-2,63",558,41.292,41.292
2015-03-24,"72,00","72,00","72,00","72,00","-2,70",1.500,108.0,108.0
2015-03-25,"71,00","72,00","71,00","71,06","-1,31",745,52.94,52.94
2015-03-26,"74,00","74,00","74,00","74,00","4,14",310,22.94,22.94
2015-04-01,"72,00","72,00","72,00","72,00","-2,70",101,7.272,7.272
2015-04-02,"74,00","74,00","74,00","74,00","2,78",1.038,76.812,76.812
2015-04-03,"76,00","76,00","76,00","76,00","2,70",1.360,103.36,103.36
2015-04-06,"74,00","75,00","74,00","74,71","-1,70",346,25.85,25.85
2015-04-07,"76,00","76,00","76,00","76,00","1,73",1.069,81.244,81.244
2015-04-08,"74,00","74,00","74,00","74,00","-2,63",591,43.734,43.734
2015-04-09,"80,00","80,00","80,00","80,00","8,11",300,24.0,24.0
2015-04-15,"80,00","80,00","80,00","80,00","0,00",926,74.08,74.08
2015-04-16,"80,00","80,00","80,00","80,00","0,00",650,52.0,52.0
2015-04-20,"80,00","80,00","80,00","80,00","0,00",1.000,80.0,80.0
2015-04-21,"75,00","75,00","75,00","75,00","-6,25",100,7.5,7.5
2015-04-23,"80,00","80,00","80,00","80,00","6,67",330,26.4,26.4
2015-04-27,"80,00","80,00","80,00","80,00","0,00",500,40.0,40.0
2015-04-30,"80,00","80,00","80,00","80,00","0,00",935,74.8,74.8
2015-05-04,"80,00","80,00","80,00","80,00","0,00",341,27.28,27.28
2015-05-11,"77,00","77,00","77,00","77,00","-3,75",600,46.2,46.2
2015-05-12,"72,00","72,00","72,00","72,00","-6,49",1.700,122.4,122.4
2015-05-13,"70,00","70,00","70,00","70,00","-2,78",300,21.0,21.0
2015-05-18,"72,00","72,00","72,00","72,00","2,86",245,17.64,17.64
2015-05-26,"70,00","70,00","70,00","70,00","-2,78",600,42.0,42.0
2015-06-03,"70,00","70,00","70,00","70,00","0,00",1.801,126.07,126.07
2015-06-09,"70,00","70,00","70,00","70,00","0,00",2.500,175.0,175.0
2015-06-10,"72,00","72,00","72,00","72,00","2,86",200,14.4,14.4
2015-06-17,"72,00","72,00","72,00","72,00","0,00",216,15.552,15.552
2015-06-19,"72,00","72,00","72,00","72,00","0,00",645,46.44,46.44
2015-06-22,"72,00","72,00","72,00","72,00","0,00",940,67.68,67.68
2015-06-23,"72,00","72,00","72,00","72,00","0,00",600,43.2,43.2
2015-06-24,"74,00","74,00","74,00","74,00","2,78",645,47.73,47.73
2015-07-08,"70,00","70,00","70,00","70,00","-5,41",802,56.14,56.14
2015-07-13,"68,00","68,00","68,00","68,00","-2,86",692,47.056,47.056
2015-07-15,"72,00","72,00","70,00","70,89","4,25",2.257,159.99,159.99
2015-07-16,"72,00","72,00","72,00","72,00","1,57",840,60.48,60.48
2015-07-20,"74,00","74,00","74,00","74,00","2,78",500,37.0,37.0
2015-07-21,"76,00","76,00","74,00","75,48","2,00",537,40.532,40.532
2015-07-27,"70,00","70,00","70,00","70,00","-7,26",500,35.0,35.0
2015-07-28,"68,00","68,00","68,00","68,00","-2,86",150,10.2,10.2
2015-07-29,"74,00","74,00","74,00","74,00","8,82",250,18.5,18.5
2015-08-14,"76,00","76,00","74,00","75,10","1,49",980,73.6,73.6
2015-08-19,"76,00","76,00","76,00","76,00","1,20",20,1.52,1.52
2015-08-27,"69,00","69,00","69,00","69,00","-9,21",500,34.5,34.5
2015-08-31,"68,00","68,00","68,00","68,00","-1,45",240,16.32,16.32
2015-09-01,"74,00","74,00","74,00","74,00","8,82",514,38.036,38.036
2015-09-07,"67,00","67,00","67,00","67,00","-9,46",486,32.562,32.562
2015-09-09,"65,00","67,00","65,00","65,50","-2,24",2.043,133.823,133.823
2015-09-11,"60,00","60,00","60,00","60,00","-8,40",567,34.02,34.02
2015-09-15,"60,00","60,00","60,00","60,00","0,00",100,6.0,6.0
2015-09-16,"66,00","66,00","60,00","61,89","3,15",1.869,115.674,115.674
2015-09-17,"66,00","66,00","66,00","66,00","6,64",300,19.8,19.8
2015-09-21,"60,00","60,00","60,00","60,00","-9,09",2.224,133.44,133.44
2015-09-22,"64,00","64,00","64,00","64,00","6,67",200,12.8,12.8
2015-09-23,"60,00","60,00","60,00","60,00","-6,25",1.200,72.0,72.0
2015-09-25,"62,00","62,00","62,00","62,00","3,33",1.471,91.202,91.202
2015-09-29,"63,00","63,00","63,00","63,00","1,61",500,31.5,31.5
2015-09-30,"64,00","64,00","64,00","64,00","1,59",384,24.576,24.576
2015-10-01,"64,00","64,00","64,00","64,00","0,00",978,62.592,62.592
2015-10-05,"62,00","62,00","62,00","62,00","-3,12",400,24.8,24.8
2015-10-07,"61,00","61,00","61,00","61,00","-1,61",150,9.15,9.15
2015-10-13,"62,00","62,00","62,00","62,00","1,64",300,18.6,18.6
2015-10-14,"61,00","61,00","61,00","61,00","-1,61",140,8.54,8.54
2015-10-15,"62,00","62,00","62,00","62,00","1,64",300,18.6,18.6
2015-10-28,"60,00","60,00","60,00","60,00","-3,23",610,36.6,36.6
2015-10-30,"62,00","62,00","62,00","62,00","3,33",177,10.974,10.974
2015-11-03,"64,00","64,00","64,00","64,00","3,23",140,8.96,8.96
2015-11-06,"60,00","60,00","60,00","60,00","-6,25",130,7.8,7.8
2015-11-12,"60,00","60,00","60,00","60,00","0,00",500,30.0,30.0
2015-11-13,"60,00","60,00","60,00","60,00","0,00",600,36.0,36.0
2015-11-16,"62,00","62,00","62,00","62,00","3,33",10,620.0,620.0
2015-11-23,"58,00","58,00","58,00","58,00","-6,45",500,29.0,29.0
2015-11-24,"58,00","58,00","58,00","58,00","0,00",500,29.0,29.0
2015-11-25,"60,00","60,00","60,00","60,00","3,45",100,6.0,6.0
2015-11-26,"55,00","55,00","55,00","55,00","-8,33",125,6.875,6.875
2015-11-27,"60,00","60,00","60,00","60,00","9,09",600,36.0,36.0
2015-11-30,"55,00","55,00","55,00","55,00","-8,33",1.900,104.5,104.5
2015-12-07,"54,00","54,00","54,00","54,00","-1,82",1.737,93.798,93.798
2015-12-10,"53,00","53,00","53,00","53,00","-1,85",578,30.634,30.634
2015-12-14,"54,00","54,00","54,00","54,00","1,89",500,27.0,27.0
2015-12-15,"54,00","54,00","54,00","54,00","0,00",290,15.66,15.66
2015-12-16,"54,00","54,00","54,00","54,00","0,00",119,6.426,6.426
2015-12-18,"55,00","55,00","55,00","55,00","1,85",250,13.75,13.75
2015-12-22,"54,00","54,00","54,00","54,00","-1,82",350,18.9,18.9
2015-12-23,"54,00","54,00","54,00","54,00","0,00",200,10.8,10.8
2015-12-24,"59,00","59,00","59,00","59,00","9,26",150,8.85,8.85
2015-12-28,"54,00","54,00","54,00","54,00","-8,47",1.264,68.256,68.256
2015-12-30,"59,00","59,00","58,00","58,49","8,31",1.980,115.81,115.81
2016-01-14,"57,00","57,00","57,00","57,00","-2,55",110,6.27,6.27
2016-01-15,"54,00","54,00","54,00","54,00","-5,26",500,27.0,27.0
2016-01-25,"54,00","54,00","53,00","53,73","-0,50",1.110,59.64,59.64
2016-01-27,"54,00","54,00","54,00","54,00","0,50",120,6.48,6.48
2016-01-29,"50,00","50,00","50,00","50,00","-7,41",3.200,160.0,160.0
2016-02-01,"50,00","50,00","50,00","50,00","0,00",300,15.0,15.0
2016-02-02,"50,00","50,00","50,00","50,00","0,00",1.180,59.0,59.0
2016-02-03,"54,00","54,00","54,00","54,00","8,00",90,4.86,4.86
2016-02-04,"53,00","53,00","53,00","53,00","-1,85",200,10.6,10.6
2016-02-09,"50,00","51,00","50,00","50,18","-5,32",1.692,84.9,84.9
2016-02-11,"55,00","55,00","55,00","55,00","9,61",200,11.0,11.0
2016-02-18,"50,00","50,00","50,00","50,00","-9,09",155,7.75,7.75
2016-02-25,"50,00","50,00","50,00","50,00","0,00",500,25.0,25.0
2016-03-01,"55,00","55,00","55,00","55,00","10,00",100,5.5,5.5
2016-03-02,"51,00","51,00","51,00","51,00","-7,27",1.892,96.492,96.492
2016-03-03,"50,00","50,00","50,00","50,00","-1,96",1.145,57.25,57.25
2016-03-09,"50,00","50,00","50,00","50,00","0,00",1.300,65.0,65.0
2016-03-10,"51,00","51,00","51,00","51,00","2,00",569,29.019,29.019
2016-03-14,"51,00","51,00","51,00","51,00","0,00",258,13.158,13.158
2016-03-15,"50,00","50,00","50,00","50,00","-1,96",942,47.1,47.1
2016-03-22,"50,00","50,00","50,00","50,00","0,00",300,15.0,15.0
2016-03-24,"49,00","49,00","49,00","49,00","-2,00",211,10.339,10.339
2016-03-28,"46,00","46,00","46,00","46,00","-6,12",235,10.81,10.81
2016-03-29,"46,00","46,00","46,00","46,00","0,00",765,35.19,35.19
2016-03-30,"48,00","48,00","48,00","48,00","4,35",55,2.64,2.64
2016-04-28,"47,00","47,00","47,00","47,00","-2,08",100,4.7,4.7
2016-05-04,"48,00","48,00","48,00","48,00","2,13",1.509,72.432,72.432
2016-05-06,"47,00","47,00","47,00","47,00","-2,08",383,18.001,18.001
2016-05-09,"47,00","47,00","47,00","47,00","0,00",553,25.991,25.991
2016-05-12,"45,00","45,00","45,00","45,00","-4,26",77,3.465,3.465
2016-05-16,"49,00","49,00","49,00","49,00","8,89",94,4.606,4.606
2016-05-18,"46,00","46,00","46,00","46,00","-6,12",45,2.07,2.07
2016-05-20,"49,00","49,00","49,00","49,00","6,52",16,784.0,784.0
2016-05-25,"46,00","46,00","46,00","46,00","-6,12",110,5.06,5.06
2016-05-30,"49,00","49,00","49,00","49,00","6,52",35,1.715,1.715
2016-06-07,"49,00","49,00","49,00","49,00","0,00",633,31.017,31.017
2016-06-20,"46,00","46,00","46,00","46,00","-6,12",410,18.86,18.86
2016-06-23,"46,00","46,00","46,00","46,00","0,00",116,5.336,5.336
2016-06-30,"44,00","44,00","44,00","44,00","-4,35",200,8.8,8.8
2016-07-12,"43,00","43,00","43,00","43,00","-2,27",300,12.9,12.9
2016-07-15,"43,00","43,00","42,00","42,80","-0,47",986,42.198,42.198
