Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-17,"285,00","286,00","285,00","285,44","-2,25",450,128.45,128.45
2014-11-19,"286,00","286,00","285,00","285,01","0,34",2.603,741.885,741.885
2014-11-20,"290,00","290,00","290,00","290,00","1,75",100,29.0,29.0
2014-11-21,"290,00","290,00","289,00","289,15","-0,29",2.240,647.7,647.7
2014-11-26,"282,00","282,00","282,00","282,00","-0,01",1.105,311.61,311.61
2014-11-27,"282,00","282,00","282,00","282,00","0,00",5,1.41,1.41
2014-11-28,"282,00","282,00","282,00","282,00","0,00",75,21.15,21.15
2014-12-01,"280,00","280,00","280,00","280,00","-0,71",37,10.36,10.36
2014-12-04,"282,00","282,00","282,00","282,00","0,71",350,98.7,98.7
2014-12-05,"282,00","289,00","282,00","282,19","0,07",1.125,317.46,317.46
2014-12-09,"289,00","289,00","289,00","289,00","2,41",100,28.9,28.9
2014-12-10,"281,00","282,00","281,00","281,20","-2,70",500,140.6,140.6
2014-12-12,"289,00","289,00","289,00","289,00","0,35",56,16.184,16.184
2014-12-19,"282,00","282,00","282,00","282,00","-0,01",2.400,676.8,676.8
2014-12-22,"282,00","282,00","282,00","282,00","0,00",700,197.4,197.4
2014-12-23,"286,00","286,00","285,00","285,42","1,21",830,236.9,236.9
2014-12-24,"286,00","286,00","285,00","285,52","0,04",2.100,599.6,599.6
2014-12-25,"288,00","288,00","288,00","288,00","0,87",425,122.4,122.4
2014-12-29,"291,00","291,00","290,00","290,28","-0,15",686,199.134,199.134
2014-12-30,"290,00","292,00","290,00","291,88","0,55",1.600,467.0,467.0
2015-01-02,"293,00","293,00","290,00","290,95","-0,32",293,85.249,85.249
2015-01-05,"290,00","290,00","290,00","290,00","-0,33",76,22.04,22.04
2015-01-08,"286,00","286,00","286,00","286,00","-1,38",127,36.322,36.322
2015-01-09,"290,00","290,00","290,00","290,00","1,40",435,126.15,126.15
2015-01-12,"285,00","286,00","285,00","285,28","-1,63",352,100.42,100.42
2015-01-13,"285,00","285,00","285,00","285,00","-0,10",80,22.8,22.8
2015-01-14,"286,00","290,00","285,00","287,14","0,75",297,85.28,85.28
2015-01-15,"290,00","290,00","290,00","290,00","1,00",100,29.0,29.0
2015-01-16,"286,00","286,00","286,00","286,00","-1,38",250,71.5,71.5
2015-01-20,"285,00","285,00","285,00","285,00","-0,35",150,42.75,42.75
2015-01-21,"290,00","290,00","286,00","286,41","0,49",1.362,390.097,390.097
2015-01-22,"292,00","292,00","292,00","292,00","1,95",50,14.6,14.6
2015-01-23,"287,00","287,00","287,00","287,00","-1,71",200,57.4,57.4
2015-01-27,"285,00","285,00","285,00","285,00","-0,70",275,78.375,78.375
2015-01-28,"290,00","290,00","290,00","290,00","1,75",80,23.2,23.2
2015-01-29,"290,00","290,00","290,00","290,00","0,00",728,211.12,211.12
2015-01-30,"292,00","292,00","292,00","292,00","0,69",100,29.2,29.2
2015-02-02,"290,00","290,00","290,00","290,00","-0,68",100,29.0,29.0
2015-02-03,"292,00","292,00","286,00","287,97","-0,70",1.025,295.172,295.172
2015-02-04,"290,00","290,00","290,00","290,00","0,70",750,217.5,217.5
2015-02-06,"290,00","290,00","290,00","290,00","0,00",750,217.5,217.5
2015-02-09,"286,00","290,00","286,00","287,33","-0,92",450,129.3,129.3
2015-02-10,"285,00","285,00","285,00","285,00","-0,81",215,61.275,61.275
2015-02-11,"285,00","286,00","285,00","285,05","0,02",1.017,289.895,289.895
2015-02-12,"285,00","285,00","285,00","285,00","-0,02",500,142.5,142.5
2015-02-13,"285,00","285,00","285,00","285,00","0,00",200,57.0,57.0
2015-02-16,"281,00","282,00","281,00","281,74","-1,14",365,102.834,102.834
2015-02-17,"282,00","282,00","282,00","282,00","0,09",1.100,310.2,310.2
2015-02-19,"282,00","282,00","282,00","282,00","0,00",115,32.43,32.43
2015-02-20,"281,00","282,00","281,00","281,81","-0,07",571,160.912,160.912
2015-02-23,"282,00","282,00","282,00","282,00","0,07",25,7.05,7.05
2015-02-24,"283,00","283,00","283,00","283,00","0,35",215,60.845,60.845
2015-02-26,"283,00","283,00","283,00","283,00","0,00",1.150,325.45,325.45
2015-02-27,"289,00","289,00","289,00","289,00","2,12",100,28.9,28.9
2015-03-02,"282,00","282,00","282,00","282,00","-2,42",200,56.4,56.4
2015-03-04,"289,00","289,00","289,00","289,00","2,48",50,14.45,14.45
2015-03-05,"289,00","289,00","289,00","289,00","0,00",30,8.67,8.67
2015-03-09,"288,00","288,00","288,00","288,00","-0,35",300,86.4,86.4
2015-03-10,"283,00","290,00","283,00","287,67","-0,11",150,43.15,43.15
2015-03-16,"282,00","283,00","282,00","282,37","-1,84",54,15.248,15.248
2015-03-17,"282,00","282,00","282,00","282,00","-0,13",766,216.012,216.012
2015-03-18,"274,00","282,00","274,00","278,00","-1,42",200,55.6,55.6
2015-03-19,"276,00","276,00","276,00","276,00","-0,72",200,55.2,55.2
2015-03-20,"276,00","276,00","276,00","276,00","0,00",200,55.2,55.2
2015-03-23,"277,00","277,00","276,00","276,50","0,18",200,55.3,55.3
2015-03-24,"279,00","279,00","279,00","279,00","0,90",1.770,493.83,493.83
2015-03-25,"292,00","292,00","291,00","291,26","4,39",1.356,394.945,394.945
2015-03-26,"300,00","300,00","299,00","299,49","2,83",1.511,452.526,452.526
2015-03-27,"300,00","300,00","300,00","300,00","0,17",50,15.0,15.0
