Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-18,"617,00","617,00","617,00","617,00","-3,44",50,30.85,30.85
2014-12-02,"620,00","620,00","620,00","620,00","0,49",50,31.0,31.0
2014-12-05,"630,00","630,00","630,00","630,00","1,61",87,54.81,54.81
2014-12-10,"630,00","630,00","630,00","630,00","0,00",50,31.5,31.5
2014-12-11,"650,00","650,00","650,00","650,00","3,17",216,140.4,140.4
2014-12-25,"650,00","650,00","650,00","650,00","0,00",107,69.55,69.55
2014-12-30,"650,00","650,00","650,00","650,00","0,00",53,34.45,34.45
2015-01-30,"650,00","650,00","650,00","650,00","0,00",300,195.0,195.0
2015-02-11,"650,00","650,00","650,00","650,00","0,00",20,13.0,13.0
2015-02-13,"650,00","650,00","650,00","650,00","0,00",50,32.5,32.5
2015-02-16,"650,00","650,00","650,00","650,00","0,00",50,32.5,32.5
2015-02-17,"650,00","650,00","650,00","650,00","0,00",50,32.5,32.5
2015-02-18,"650,00","650,00","650,00","650,00","0,00",30,19.5,19.5
2015-04-01,"650,00","650,00","650,00","650,00","0,00",100,65.0,65.0
2015-04-02,"649,00","649,00","649,00","649,00","-0,15",100,64.9,64.9
2015-04-22,"650,00","650,00","650,00","650,00","0,15",202,131.3,131.3
2015-04-23,"638,00","638,00","638,00","638,00","-1,85",200,127.6,127.6
2015-04-28,"637,00","637,00","637,00","637,00","-0,16",35,22.295,22.295
2015-04-29,"650,00","650,00","650,00","650,00","2,04",135,87.75,87.75
2015-05-07,"600,00","600,00","600,00","600,00","-7,69",200,120.0,120.0
2015-05-21,"600,00","600,00","600,00","600,00","0,00",350,210.0,210.0
2015-06-03,"551,00","551,00","551,00","551,00","-8,17",200,110.2,110.2
2015-06-11,"560,00","560,00","560,00","560,00","1,63",450,252.0,252.0
2015-06-19,"601,00","601,00","601,00","601,00","7,32",226,135.826,135.826
2015-06-24,"615,00","615,00","615,00","615,00","2,33",200,123.0,123.0
2015-07-02,"615,00","615,00","615,00","615,00","0,00",80,49.2,49.2
2015-07-03,"605,00","605,00","605,00","605,00","-1,63",580,350.9,350.9
2015-07-08,"605,00","605,00","605,00","605,00","0,00",13,7.865,7.865
2015-07-09,"605,00","605,00","605,00","605,00","0,00",50,30.25,30.25
2015-07-20,"650,00","650,00","650,00","650,00","7,44",40,26.0,26.0
2015-07-21,"650,00","650,00","650,00","650,00","0,00",50,32.5,32.5
2015-07-30,"650,00","650,00","645,00","647,62","-0,37",210,136.0,136.0
2015-07-31,"660,00","660,00","651,00","655,50","1,22",180,117.99,117.99
2015-08-10,"660,00","660,00","660,00","660,00","0,69",100,66.0,66.0
2015-08-11,"660,00","660,00","660,00","660,00","0,00",88,58.08,58.08
2015-08-14,"600,00","614,00","600,00","605,26","-8,29",133,80.5,80.5
2015-08-17,"600,00","600,00","600,00","600,00","-0,87",67,40.2,40.2
2015-08-19,"618,00","618,00","618,00","618,00","3,00",100,61.8,61.8
2015-09-04,"602,00","602,00","602,00","602,00","-2,59",65,39.13,39.13
2015-09-14,"601,00","601,00","601,00","601,00","-0,17",200,120.2,120.2
2015-09-21,"615,00","615,00","600,00","609,68","1,44",310,189.0,189.0
2015-09-24,"625,00","625,00","625,00","625,00","2,51",100,62.5,62.5
2015-10-05,"625,00","625,00","625,00","625,00","0,00",10,6.25,6.25
2015-10-21,"625,00","625,00","625,00","625,00","0,00",100,62.5,62.5
2015-10-29,"640,00","640,00","640,00","640,00","2,40",100,64.0,64.0
