Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2016-10-14,"161,00","161,00","161,00","161,00","61,00",194,31.234,31.234
2016-11-02,"157,00","157,00","157,00","157,00","-2,48",124,19.468,19.468
2018-01-18,"153,00","153,00","153,00","153,00","-2,55",55,8.415,8.415
2018-01-23,"153,00","153,00","153,00","153,00","0,00",17,2.601,2.601
2018-07-18,"157,00","157,00","157,00","157,00","2,61",422,66.254,66.254
2020-03-16,"157,00","157,00","157,00","157,00","0,00",280,43.96,43.96
2022-03-10,"1.000,00","1.000,00","1.000,00","1.000,00","536,94",20,20.0,20.0
2022-03-30,"1.030,00","1.030,00","1.030,00","1.030,00","3,00",24,24.72,24.72
2022-04-14,"1.000,00","1.000,00","1.000,00","1.000,00","-2,91",32,32.0,32.0
2022-12-13,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",266,266.0,266.0
2023-02-17,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",18,18.0,18.0
2023-05-02,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",18,18.0,18.0
2023-05-19,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",15,15.0,15.0
2023-06-01,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",49,49.0,49.0
2024-03-27,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",39,39.0,39.0
2024-10-18,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",36,36.0,36.0
2024-11-07,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",126,126.0,126.0
