Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
13.05.2015,"200,00","200,00","200,00","200,00","-55,56",41,8.2,8.2
23.03.2016,"200,00","200,00","200,00","200,00","0,00",59,11.8,11.8
23.11.2016,"200,00","200,00","200,00","200,00","0,00",46,9.2,9.2
22.08.2017,"225,00","225,00","225,00","225,00","12,50",11,2.475,2.475
30.01.2018,"231,00","231,00","231,00","231,00","2,67",47,10.857,10.857
04.07.2018,"250,00","250,00","250,00","250,00","8,23",111,27.75,27.75
24.10.2019,"257,00","257,00","257,00","257,00","2,80",15,3.855,3.855
27.12.2019,"250,00","250,00","250,00","250,00","-2,72",30,7.5,7.5
01.07.2020,"250,00","250,00","250,00","250,00","0,00",198,49.5,49.5
16.07.2020,"155,00","155,00","155,00","155,00","-38,00",834,129.27,129.27
10.05.2021,"250,00","250,00","250,00","250,00","61,29",30,7.5,7.5
