Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-12-30,"1.055,00","1.055,00","1.055,00","1.055,00","-29,67",10,10.55,10.55
2015-01-26,"1.051,00","1.051,00","1.051,00","1.051,00","-0,38",11,11.561,11.561
2015-02-04,"1.085,00","1.085,00","1.085,00","1.085,00","3,24",25,27.125,27.125
2015-02-16,"1.085,00","1.085,00","1.085,00","1.085,00","0,00",10,10.85,10.85
2015-04-07,"1.117,00","1.117,00","1.117,00","1.117,00","2,95",2,2.234,2.234
2015-04-21,"1.150,00","1.150,00","1.150,00","1.150,00","2,95",5,5.75,5.75
2015-04-23,"1.200,00","1.200,00","1.200,00","1.200,00","4,35",10,12.0,12.0
2015-05-13,"1.101,00","1.101,00","1.101,00","1.101,00","-8,25",3,3.303,3.303
2015-05-26,"1.100,00","1.100,00","1.100,00","1.100,00","-0,09",5,5.5,5.5
2015-05-27,"1.100,00","1.100,00","1.100,00","1.100,00","0,00",5,5.5,5.5
2015-06-04,"1.100,00","1.100,00","1.100,00","1.100,00","0,00",15,16.5,16.5
2015-06-10,"1.201,00","1.201,00","1.201,00","1.201,00","9,18",61,73.261,73.261
2015-07-23,"1.237,00","1.237,00","1.237,00","1.237,00","3,00",100,123.7,123.7
2015-09-18,"1.500,00","1.500,00","1.500,00","1.500,00","21,26",30,45.0,45.0
2015-11-02,"1.711,00","1.711,00","1.711,00","1.711,00","14,07",17,29.087,29.087
2015-11-20,"1.900,00","1.900,00","1.900,00","1.900,00","11,05",25,47.5,47.5
2015-12-09,"1.950,00","1.950,00","1.950,00","1.950,00","2,63",50,97.5,97.5
2015-12-28,"2.600,00","2.600,00","2.600,00","2.600,00","33,33",45,117.0,117.0
2015-12-30,"2.600,00","2.600,00","2.600,00","2.600,00","0,00",17,44.2,44.2
2016-01-15,"2.700,00","2.700,00","2.700,00","2.700,00","3,85",37,99.9,99.9
2016-01-22,"2.781,00","2.781,00","2.781,00","2.781,00","3,00",75,208.575,208.575
2016-02-12,"2.507,00","2.507,00","2.507,00","2.507,00","-9,85",70,175.49,175.49
2016-02-29,"2.500,00","2.500,00","2.500,00","2.500,00","-0,28",200,500.0,500.0
2016-03-07,"2.551,00","2.551,00","2.551,00","2.551,00","2,04",100,255.1,255.1
2016-03-08,"2.550,00","2.550,00","2.550,00","2.550,00","-0,04",10,25.5,25.5
2016-03-11,"2.500,00","2.500,00","2.500,00","2.500,00","-1,96",8,20.0,20.0
2016-11-21,"2.003,00","2.003,00","2.003,00","2.003,00","-19,88",54,108.162,108.162
2016-12-01,"2.350,00","2.350,00","2.350,00","2.350,00","17,32",10,23.5,23.5
2016-12-02,"2.350,00","2.350,00","2.350,00","2.350,00","0,00",4,9.4,9.4
2016-12-05,"2.300,00","2.300,00","2.300,00","2.300,00","-2,13",30,69.0,69.0
2016-12-06,"2.300,00","2.300,00","2.300,00","2.300,00","0,00",103,236.9,236.9
2017-02-02,"2.001,00","2.001,00","2.001,00","2.001,00","-13,00",5,10.005,10.005
2017-02-17,"2.001,00","2.001,00","2.001,00","2.001,00","0,00",50,100.05,100.05
2017-02-20,"2.132,00","2.132,00","2.132,00","2.132,00","6,55",20,42.64,42.64
2017-02-24,"2.100,00","2.100,00","2.100,00","2.100,00","-1,50",10,21.0,21.0
2017-02-27,"2.150,00","2.150,00","2.150,00","2.150,00","2,38",20,43.0,43.0
2017-03-22,"2.086,00","2.086,00","2.086,00","2.086,00","-2,98",50,104.3,104.3
2017-03-24,"2.024,00","2.024,00","2.024,00","2.024,00","-2,97",13,26.312,26.312
2017-04-04,"2.025,00","2.025,00","2.025,00","2.025,00","0,05",100,202.5,202.5
2017-04-28,"2.085,00","2.085,00","2.085,00","2.085,00","2,96",42,87.57,87.57
2017-05-15,"2.332,00","2.332,00","2.332,00","2.332,00","11,85",55,128.26,128.26
2017-05-19,"2.505,00","2.505,00","2.505,00","2.505,00","7,42",75,187.875,187.875
2017-05-29,"2.510,00","2.510,00","2.510,00","2.510,00","0,20",100,251.0,251.0
2017-06-01,"2.999,00","2.999,00","2.999,00","2.999,00","19,48",10,29.99,29.99
2017-06-19,"2.720,00","2.720,00","2.720,00","2.720,00","-9,30",3,8.16,8.16
2017-06-20,"2.434,00","2.434,00","2.434,00","2.434,00","-10,51",148,360.232,360.232
2017-06-22,"2.510,00","2.510,00","2.510,00","2.510,00","3,12",35,87.85,87.85
2017-06-30,"2.500,00","2.500,00","2.500,00","2.500,00","-0,40",30,75.0,75.0
2017-07-04,"2.450,00","2.450,00","2.450,00","2.450,00","-2,00",10,24.5,24.5
2017-07-07,"2.500,00","2.500,00","2.500,00","2.500,00","2,04",40,100.0,100.0
2017-07-13,"2.519,00","2.519,00","2.519,00","2.519,00","0,76",7,17.633,17.633
2017-07-19,"2.648,00","2.648,00","2.648,00","2.648,00","5,12",25,66.2,66.2
2017-07-21,"2.800,00","2.800,00","2.800,00","2.800,00","5,74",75,210.0,210.0
2017-07-24,"3.000,00","3.000,00","3.000,00","3.000,00","7,14",271,813.0,813.0
2017-07-25,"3.153,00","3.153,00","3.153,00","3.153,00","5,10",65,204.945,204.945
2017-07-26,"3.358,00","3.358,00","3.358,00","3.358,00","6,50",30,100.74,100.74
2017-07-27,"3.358,00","3.358,00","3.358,00","3.358,00","0,00",2,6.716,6.716
2017-07-28,"3.358,00","3.358,00","3.358,00","3.358,00","0,00",2,6.716,6.716
2017-08-01,"3.358,00","3.358,00","3.358,00","3.358,00","0,00",20,67.16,67.16
2017-08-03,"3.001,00","3.001,00","3.001,00","3.001,00","-10,63",62,186.062,186.062
2017-08-09,"3.300,00","3.300,00","3.300,00","3.300,00","9,96",10,33.0,33.0
2017-08-14,"3.399,00","3.399,00","3.399,00","3.399,00","3,00",42,142.758,142.758
2017-08-15,"3.400,00","3.400,00","3.400,00","3.400,00","0,03",100,340.0,340.0
2017-08-22,"3.400,00","3.400,00","3.400,00","3.400,00","0,00",46,156.4,156.4
2017-08-24,"3.400,00","3.400,00","3.400,00","3.400,00","0,00",74,251.6,251.6
2017-08-29,"3.300,00","3.300,00","3.300,00","3.300,00","-2,94",10,33.0,33.0
2017-09-04,"3.201,00","3.201,00","3.201,00","3.201,00","-3,00",5,16.005,16.005
2017-09-18,"3.107,00","3.200,00","3.107,00","3.153,50","-1,48",100,315.35,315.35
