Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-17,"5.474,00","5.474,00","5.474,00","5.474,00","3,00",4,21.896,21.896
2014-11-18,"5.500,00","5.500,00","5.400,00","5.481,45","0,14",11,60.296,60.296
2014-11-19,"5.310,00","5.310,00","5.310,00","5.310,00","-3,13",70,371.7,371.7
2014-11-20,"5.470,00","5.470,00","5.470,00","5.470,00","3,01",9,49.23,49.23
2014-11-25,"5.300,00","5.301,00","5.300,00","5.300,25","-0,20",40,212.01,212.01
2014-11-26,"5.300,00","5.300,00","5.300,00","5.300,00","0,00",58,307.4,307.4
2014-11-27,"5.300,00","5.300,00","5.300,00","5.300,00","0,00",38,201.4,201.4
2014-12-04,"5.300,00","5.300,00","5.300,00","5.300,00","0,00",66,349.8,349.8
2014-12-05,"5.300,00","5.300,00","5.300,00","5.300,00","0,00",12,63.6,63.6
2014-12-15,"5.152,00","5.152,00","5.152,00","5.152,00","-2,79",50,257.6,257.6
2014-12-29,"5.150,00","5.150,00","5.120,00","5.122,50","0,11",60,307.35,307.35
2014-12-30,"5.298,00","5.299,00","5.298,00","5.298,50","3,44",10,52.985,52.985
2015-01-05,"5.400,00","5.400,00","5.299,00","5.349,50","0,96",10,53.495,53.495
2015-01-08,"5.301,00","5.301,00","5.301,00","5.301,00","-0,91",55,291.555,291.555
2015-01-12,"5.350,00","5.350,00","5.350,00","5.350,00","0,92",5,26.75,26.75
2015-01-15,"5.300,00","5.300,00","5.300,00","5.300,00","-0,93",15,79.5,79.5
2015-01-16,"5.350,00","5.350,00","5.300,00","5.316,67","0,31",30,159.5,159.5
2015-01-22,"5.350,00","5.350,00","5.350,00","5.350,00","0,63",94,502.9,502.9
2015-01-23,"5.400,00","5.450,00","5.400,00","5.401,46","0,96",103,556.35,556.35
2015-01-28,"5.400,00","5.400,00","5.350,00","5.388,97","-0,23",68,366.45,366.45
