Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-19,"700,00","700,00","700,00","700,00","-1,27",80,56.0,56.0
2015-01-22,"650,00","650,00","650,00","650,00","-7,14",96,62.4,62.4
2015-01-30,"650,00","650,00","650,00","650,00","0,00",32,20.8,20.8
2015-02-03,"631,00","631,00","631,00","631,00","-2,92",893,563.483,563.483
2015-02-11,"631,00","631,00","631,00","631,00","0,00",83,52.373,52.373
2015-02-18,"600,00","600,00","600,00","600,00","-4,91",67,40.2,40.2
2015-02-19,"600,00","600,00","600,00","600,00","0,00",120,72.0,72.0
2015-02-23,"582,00","582,00","582,00","582,00","-3,00",100,58.2,58.2
2015-03-02,"565,00","565,00","565,00","565,00","-2,92",100,56.5,56.5
2015-03-03,"565,00","565,00","565,00","565,00","0,00",35,19.775,19.775
2015-03-18,"565,00","565,00","565,00","565,00","0,00",7,3.955,3.955
2015-03-20,"565,00","565,00","565,00","565,00","0,00",55,31.075,31.075
2015-03-24,"565,00","565,00","565,00","565,00","0,00",91,51.415,51.415
2015-03-25,"485,00","485,00","485,00","485,00","-14,16",57,27.645,27.645
2015-04-03,"485,00","485,00","485,00","485,00","0,00",344,166.84,166.84
2015-04-08,"471,00","471,00","471,00","471,00","-2,89",95,44.745,44.745
2015-04-16,"471,00","471,00","471,00","471,00","0,00",59,27.789,27.789
2015-05-07,"490,00","490,00","490,00","490,00","4,03",1.118,547.82,547.82
2015-05-11,"490,00","490,00","490,00","490,00","0,00",35,17.15,17.15
2015-06-08,"490,00","490,00","490,00","490,00","0,00",44,21.56,21.56
2015-07-30,"504,00","504,00","504,00","504,00","2,86",13,6.552,6.552
2015-09-03,"518,00","518,00","518,00","518,00","2,78",55,28.49,28.49
2015-09-09,"503,00","503,00","503,00","503,00","-2,90",100,50.3,50.3
2015-10-26,"503,00","503,00","503,00","503,00","0,00",292,146.876,146.876
2015-10-30,"503,00","503,00","503,00","503,00","0,00",1.115,560.845,560.845
2015-11-03,"526,00","526,00","526,00","526,00","4,57",240,126.24,126.24
2015-11-13,"543,00","543,00","543,00","543,00","19,87",35,19.005,19.005
2015-11-17,"550,00","550,00","550,00","550,00","1,29",100,55.0,55.0
2015-11-18,"550,00","550,00","550,00","550,00","0,00",16,8.8,8.8
2015-11-19,"550,00","550,00","550,00","550,00","0,00",370,203.5,203.5
2015-11-24,"550,00","550,00","550,00","550,00","0,00",80,44.0,44.0
2015-11-25,"599,00","599,00","599,00","599,00","8,91",9,5.391,5.391
2015-12-03,"550,00","550,00","550,00","550,00","-8,18",320,176.0,176.0
2015-12-04,"550,00","550,00","550,00","550,00","0,00",41,22.55,22.55
2015-12-07,"519,00","519,00","519,00","519,00","-5,64",692,359.148,359.148
2015-12-10,"519,00","519,00","519,00","519,00","0,00",1.636,849.084,849.084
