Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-17,"768,00","768,00","768,00","768,00","9,90",10,7.68,7.68
2014-11-20,"710,00","730,00","710,00","713,32","-7,12",182,129.824,129.824
2014-11-21,"767,00","767,00","767,00","767,00","7,53",20,15.34,15.34
2014-11-24,"840,00","840,00","750,00","761,25","-0,75",160,121.8,121.8
2014-11-25,"837,00","837,00","837,00","837,00","9,95",60,50.22,50.22
2014-11-27,"837,00","837,00","836,00","836,20","-0,10",264,220.757,220.757
2014-12-04,"753,00","753,00","753,00","753,00","-9,95",25,18.825,18.825
2014-12-05,"750,00","750,00","750,00","750,00","-0,40",30,22.5,22.5
2014-12-11,"790,00","790,00","750,00","756,00","0,80",20,15.12,15.12
2014-12-16,"690,00","690,00","690,00","690,00","-8,73",318,219.42,219.42
2014-12-29,"749,00","749,00","749,00","749,00","8,55",50,37.45,37.45
2015-01-20,"676,00","676,00","676,00","676,00","-9,75",40,27.04,27.04
2015-01-22,"696,00","696,00","696,00","696,00","2,96",70,48.72,48.72
2015-01-23,"676,00","676,00","676,00","676,00","-2,87",23,15.548,15.548
2015-01-30,"676,00","676,00","676,00","676,00","0,00",40,27.04,27.04
2015-02-11,"656,00","656,00","656,00","656,00","-2,96",25,16.4,16.4
2015-02-17,"637,00","637,00","637,00","637,00","-2,90",60,38.22,38.22
2015-02-24,"620,00","620,00","620,00","620,00","-2,67",50,31.0,31.0
2015-03-03,"602,00","602,00","602,00","602,00","-2,90",100,60.2,60.2
2015-03-04,"620,00","620,00","620,00","620,00","2,99",77,47.74,47.74
2015-03-05,"620,00","620,00","620,00","620,00","0,00",125,77.5,77.5
2015-03-11,"601,00","601,00","601,00","601,00","-3,06",5,3.005,3.005
2015-03-12,"619,00","619,00","619,00","619,00","3,00",147,90.993,90.993
2015-03-17,"630,00","630,00","630,00","630,00","1,78",100,63.0,63.0
2015-03-18,"636,00","636,00","636,00","636,00","0,95",100,63.6,63.6
2015-03-23,"655,00","655,00","655,00","655,00","2,99",100,65.5,65.5
2015-03-25,"602,00","602,00","602,00","602,00","-8,09",791,476.182,476.182
2015-03-30,"610,00","610,00","610,00","610,00","1,33",75,45.75,45.75
2015-04-02,"601,00","601,00","601,00","601,00","-1,48",195,117.195,117.195
2015-04-06,"590,00","590,00","590,00","590,00","-1,83",30,17.7,17.7
2015-04-07,"590,00","590,00","590,00","590,00","0,00",521,307.39,307.39
2015-04-08,"600,00","600,00","600,00","600,00","1,69",60,36.0,36.0
2015-04-09,"600,00","600,00","600,00","600,00","0,00",140,84.0,84.0
2015-04-21,"600,00","600,00","600,00","600,00","0,00",14,8.4,8.4
2015-04-22,"599,00","599,00","599,00","599,00","-0,17",50,29.95,29.95
2015-04-23,"599,00","599,00","599,00","599,00","0,00",22,13.178,13.178
2015-04-29,"580,00","580,00","580,00","580,00","-3,17",165,95.7,95.7
2015-05-05,"570,00","570,00","570,00","570,00","-1,72",135,76.95,76.95
2015-05-08,"554,00","554,00","554,00","554,00","-2,81",29,16.066,16.066
2015-05-13,"600,00","600,00","600,00","600,00","8,30",50,30.0,30.0
2015-05-18,"600,00","600,00","600,00","600,00","0,00",498,298.8,298.8
2015-05-28,"561,00","561,00","561,00","561,00","-6,50",203,113.883,113.883
2015-06-01,"561,00","561,00","561,00","561,00","0,00",200,112.2,112.2
2015-06-10,"581,00","581,00","581,00","581,00","3,57",50,29.05,29.05
2015-06-19,"581,00","581,00","581,00","581,00","3,75",100,58.1,58.1
2015-07-02,"600,00","600,00","600,00","600,00","3,27",15,9.0,9.0
2015-07-20,"600,00","600,00","600,00","600,00","0,00",179,107.4,107.4
2015-07-22,"600,00","600,00","600,00","600,00","0,00",132,79.2,79.2
2015-07-24,"600,00","618,00","600,00","610,74","1,79",389,237.576,237.576
2015-08-07,"600,00","600,00","600,00","600,00","-1,76",50,30.0,30.0
2015-08-12,"615,00","615,00","615,00","615,00","2,50",100,61.5,61.5
2015-08-13,"629,00","629,00","629,00","629,00","2,28",191,120.139,120.139
2015-08-17,"629,00","629,00","629,00","629,00","0,00",59,37.111,37.111
2015-08-18,"630,00","630,00","630,00","630,00","0,16",156,98.28,98.28
2015-09-10,"600,00","600,00","600,00","600,00","-4,76",100,60.0,60.0
2015-09-14,"570,00","570,00","570,00","570,00","-5,00",100,57.0,57.0
2015-09-17,"555,00","556,00","555,00","555,25","-2,59",100,55.525,55.525
2015-09-21,"610,00","610,00","610,00","610,00","9,86",1.283,782.63,782.63
2015-11-03,"592,00","592,00","592,00","592,00","-2,95",50,29.6,29.6
2015-11-05,"583,00","583,00","583,00","583,00","-1,52",1.505,877.415,877.415
2015-11-09,"580,00","585,00","580,00","580,77","-0,38",325,188.75,188.75
2015-11-12,"570,00","570,00","570,00","570,00","-1,85",126,71.82,71.82
2015-11-18,"580,00","580,00","580,00","580,00","1,75",28,16.24,16.24
2015-11-19,"580,00","580,00","580,00","580,00","0,00",187,108.46,108.46
2015-12-01,"570,00","570,00","570,00","570,00","-1,72",200,114.0,114.0
2015-12-10,"550,00","550,00","550,00","550,00","-3,51",55,30.25,30.25
2015-12-14,"565,00","565,00","565,00","565,00","2,73",175,98.875,98.875
2015-12-23,"581,00","581,00","581,00","581,00","2,83",132,76.692,76.692
2015-12-25,"585,00","585,00","585,00","585,00","0,69",81,47.385,47.385
2015-12-28,"600,00","600,00","600,00","600,00","2,56",50,30.0,30.0
2016-01-04,"600,00","600,00","600,00","600,00","0,00",194,116.4,116.4
2016-01-05,"600,00","600,00","600,00","600,00","0,00",77,46.2,46.2
2016-01-15,"615,00","615,00","615,00","615,00","2,50",263,161.745,161.745
2016-01-18,"615,00","615,00","615,00","615,00","0,00",50,30.75,30.75
2016-01-29,"600,00","600,00","600,00","600,00","-2,44",22,13.2,13.2
2016-02-10,"585,00","585,00","585,00","585,00","-2,50",32,18.72,18.72
2016-02-12,"585,00","585,00","585,00","585,00","0,00",20,11.7,11.7
2016-02-18,"586,00","586,00","586,00","586,00","0,17",30,17.58,17.58
2016-02-25,"585,00","585,00","585,00","585,00","-0,17",63,36.855,36.855
2016-02-29,"600,00","600,00","600,00","600,00","2,56",52,31.2,31.2
2016-03-02,"615,00","615,00","615,00","615,00","2,50",63,38.745,38.745
2016-03-07,"629,00","629,00","629,00","629,00","2,28",115,72.335,72.335
2016-04-12,"611,00","611,00","611,00","611,00","-2,86",200,122.2,122.2
2016-04-15,"611,00","611,00","611,00","611,00","0,00",33,20.163,20.163
2016-05-10,"595,00","595,00","595,00","595,00","-2,62",1.325,788.375,788.375
2016-05-13,"596,00","596,00","596,00","596,00","0,17",19,11.324,11.324
2016-05-16,"596,00","596,00","596,00","596,00","0,00",80,47.68,47.68
2016-05-17,"596,00","596,00","596,00","596,00","0,00",95,56.62,56.62
2016-06-10,"579,00","579,00","579,00","579,00","-2,85",20,11.58,11.58
2016-06-15,"562,00","562,00","562,00","562,00","-2,94",30,16.86,16.86
2016-06-23,"561,00","561,00","561,00","561,00","-0,18",15,8.415,8.415
2016-07-14,"613,00","613,00","613,00","613,00","9,27",60,36.78,36.78
2016-07-15,"602,00","602,00","602,00","602,00","-1,79",85,51.17,51.17
2016-07-19,"620,00","620,00","620,00","620,00","2,99",40,24.8,24.8
2016-08-10,"619,00","619,00","619,00","619,00","-0,16",85,52.615,52.615
2016-08-11,"620,00","620,00","620,00","620,00","0,16",187,115.94,115.94
2016-08-12,"615,00","615,00","615,00","615,00","-0,81",350,215.25,215.25
2016-08-15,"630,00","630,00","630,00","630,00","2,44",105,66.15,66.15
2016-08-16,"638,00","638,00","638,00","638,00","1,27",595,379.61,379.61
2016-08-17,"638,00","638,00","638,00","638,00","0,00",25,15.95,15.95
2016-08-19,"657,00","657,00","657,00","657,00","2,98",200,131.4,131.4
2016-08-23,"675,00","675,00","675,00","675,00","2,74",187,126.225,126.225
