Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-20,"22.850,00","22.850,00","22.850,00","22.850,00","1,56",10,228.5,228.5
2015-01-22,"19.000,00","19.000,00","19.000,00","19.000,00","-16,85",1,19.0,19.0
2015-02-11,"18.500,00","18.500,00","18.500,00","18.500,00","-2,63",11,203.5,203.5
2015-03-09,"18.000,00","18.000,00","18.000,00","18.000,00","-2,70",6,108.0,108.0
2015-03-10,"17.499,00","17.499,00","17.499,00","17.499,00","-2,78",34,594.966,594.966
2015-03-13,"17.498,00","17.498,00","17.498,00","17.498,00","-0,01",3,52.494,52.494
2015-03-30,"17.000,00","17.000,00","17.000,00","17.000,00","-2,85",18,306.0,306.0
2015-03-31,"17.000,00","17.000,00","17.000,00","17.000,00","0,00",28,476.0,476.0
2015-04-02,"17.000,00","17.000,00","17.000,00","17.000,00","0,00",3,51.0,51.0
2015-04-03,"17.000,00","17.000,00","17.000,00","17.000,00","0,00",12,204.0,204.0
2015-04-15,"17.510,00","17.510,00","17.510,00","17.510,00","3,00",15,262.65,262.65
2015-04-16,"18.000,00","18.000,00","18.000,00","18.000,00","2,80",22,396.0,396.0
2015-04-22,"18.000,00","18.000,00","18.000,00","18.000,00","0,00",2,36.0,36.0
2015-04-28,"21.600,00","21.600,00","21.600,00","21.600,00","20,00",1,21.6,21.6
2015-05-20,"21.000,00","21.000,00","21.000,00","21.000,00","-2,78",27,567.0,567.0
2015-05-21,"21.500,00","21.500,00","21.500,00","21.500,00","2,38",20,430.0,430.0
2015-06-02,"21.000,00","21.000,00","21.000,00","21.000,00","-2,33",9,189.0,189.0
2015-09-07,"19.010,00","19.010,00","19.010,00","19.010,00","-9,48",3,57.03,57.03
2015-09-17,"21.997,00","21.997,00","21.997,00","21.997,00","15,71",6,131.982,131.982
2015-10-19,"22.000,00","22.000,00","22.000,00","22.000,00","0,00",2,44.0,44.0
2015-10-20,"22.000,00","22.000,00","22.000,00","22.000,00","0,00",12,264.0,264.0
2015-10-22,"22.000,00","22.000,00","22.000,00","22.000,00","0,00",2,44.0,44.0
2015-10-27,"22.000,00","22.000,00","22.000,00","22.000,00","0,00",5,110.0,110.0
2015-11-10,"22.000,00","22.000,00","22.000,00","22.000,00","0,00",10,220.0,220.0
2015-11-24,"22.000,00","22.000,00","22.000,00","22.000,00","0,00",2,44.0,44.0
2015-11-25,"22.000,00","22.000,00","22.000,00","22.000,00","0,00",4,88.0,88.0
2015-11-27,"21.500,00","21.500,00","21.500,00","21.500,00","-2,27",7,150.5,150.5
2015-12-09,"21.000,00","21.000,00","21.000,00","21.000,00","-2,33",3,63.0,63.0
2015-12-17,"20.500,00","20.500,00","20.500,00","20.500,00","-2,38",7,143.5,143.5
2015-12-30,"20.101,00","20.101,00","20.101,00","20.101,00","-1,95",10,201.01,201.01
