Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
18.11.2014,"8.500,00","8.500,00","8.500,00","8.500,00","0,00",5,42.5,42.5
25.11.2014,"8.500,00","8.500,00","8.500,00","8.500,00","0,00",50,425.0,425.0
01.12.2014,"8.500,00","8.500,00","8.500,00","8.500,00","0,00",17,144.5,144.5
02.12.2014,"8.500,00","8.500,00","8.500,00","8.500,00","0,00",25,212.5,212.5
09.12.2014,"8.505,00","8.505,00","8.505,00","8.505,00","0,06",3,25.515,25.515
15.12.2014,"8.600,00","8.600,00","8.600,00","8.600,00","1,12",27,232.2,232.2
16.12.2014,"8.600,00","8.600,00","8.600,00","8.600,00","0,00",11,94.6,94.6
18.12.2014,"8.600,00","8.600,00","8.600,00","8.600,00","0,00",15,129.0,129.0
22.12.2014,"8.600,00","8.600,00","8.600,00","8.600,00","0,00",10,86.0,86.0
24.12.2014,"9.000,00","9.000,00","9.000,00","9.000,00","4,65",30,270.0,270.0
25.12.2014,"9.000,00","9.000,00","9.000,00","9.000,00","0,00",4,36.0,36.0
29.12.2014,"9.001,00","9.001,00","9.001,00","9.001,00","0,01",9,81.009,81.009
13.01.2015,"9.000,00","9.000,00","9.000,00","9.000,00","-0,01",5,45.0,45.0
15.01.2015,"9.000,00","9.000,00","9.000,00","9.000,00","0,00",15,135.0,135.0
03.02.2015,"8.601,00","8.601,00","8.601,00","8.601,00","-4,43",8,68.808,68.808
09.02.2015,"9.001,00","9.001,00","9.001,00","9.001,00","4,65",12,108.012,108.012
17.02.2015,"8.860,00","8.860,00","8.611,00","8.713,53","-3,19",17,148.13,148.13
19.02.2015,"8.860,00","8.860,00","8.860,00","8.860,00","1,68",20,177.2,177.2
26.02.2015,"8.860,00","8.860,00","8.860,00","8.860,00","0,00",3,26.58,26.58
27.02.2015,"8.860,00","8.860,00","8.860,00","8.860,00","0,00",10,88.6,88.6
02.03.2015,"8.860,00","8.860,00","8.860,00","8.860,00","0,00",3,26.58,26.58
03.03.2015,"8.860,00","8.860,00","8.860,00","8.860,00","0,00",11,97.46,97.46
04.03.2015,"8.860,00","8.860,00","8.860,00","8.860,00","0,00",68,602.48,602.48
06.03.2015,"8.860,00","8.860,00","8.860,00","8.860,00","0,00",20,177.2,177.2
11.03.2015,"8.860,00","8.860,00","8.860,00","8.860,00","0,00",4,35.44,35.44
20.03.2015,"8.860,00","8.860,00","8.860,00","8.860,00","0,00",20,177.2,177.2
23.03.2015,"8.860,00","8.860,00","8.860,00","8.860,00","0,00",10,88.6,88.6
25.03.2015,"8.860,00","8.860,00","8.859,00","8.859,77","0,00",13,115.177,115.177
07.04.2015,"8.860,00","8.860,00","8.860,00","8.860,00","0,22",20,177.2,177.2
17.04.2015,"8.860,00","8.860,00","8.860,00","8.860,00","0,00",20,177.2,177.2
23.04.2015,"8.860,00","8.860,00","8.860,00","8.860,00","0,00",5,44.3,44.3
28.04.2015,"8.860,00","8.860,00","8.860,00","8.860,00","0,00",10,88.6,88.6
06.05.2015,"8.860,00","8.860,00","8.860,00","8.860,00","0,00",98,868.28,868.28
12.05.2015,"8.860,00","8.860,00","8.860,00","8.860,00","0,00",10,88.6,88.6
19.05.2015,"8.600,00","8.600,00","8.600,00","8.600,00","-2,93",5,43.0,43.0
20.05.2015,"8.600,00","8.600,00","8.600,00","8.600,00","0,00",35,301.0,301.0
