Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-12-23,"3.900,00","3.900,00","3.900,00","3.900,00","0,00",8,31.2,31.2
2015-02-12,"2.350,00","2.350,00","2.350,00","2.350,00","-39,74",36,84.6,84.6
2016-11-18,"2.280,00","2.280,00","2.280,00","2.280,00","-2,98",8,18.24,18.24
2017-07-21,"14.000,00","14.000,00","14.000,00","14.000,00","514,04",52,728.0,728.0
2017-07-25,"14.000,00","14.000,00","14.000,00","14.000,00","0,00",20,280.0,280.0
2018-02-12,"13.580,00","13.580,00","13.580,00","13.580,00","-3,00",4,54.32,54.32
2018-03-07,"14.250,00","14.250,00","14.250,00","14.250,00","4,93",1,14.25,0.0
2018-04-16,"14.250,00","14.250,00","14.250,00","14.250,00","0,00",12,171.0,171.0
2018-04-19,"14.640,00","14.640,00","14.640,00","14.640,00","2,74",32,468.48,468.48
2018-10-08,"14.640,00","14.640,00","14.640,00","14.640,00","0,00",8,117.12,117.12
2018-12-12,"14.640,00","14.640,00","14.640,00","14.640,00","0,00",30,439.2,439.2
2019-02-05,"14.640,00","14.640,00","14.640,00","14.640,00","0,00",28,409.92,409.92
2019-08-01,"14.640,00","14.640,00","14.640,00","14.640,00","0,00",32,468.48,468.48
2020-11-12,"11.000,00","11.000,00","11.000,00","11.000,00","-24,86",90,990.0,990.0
2021-06-24,"11.000,00","11.000,00","11.000,00","11.000,00","0,00",62,682.0,682.0
2023-04-11,"7.838,00","7.838,00","7.838,00","7.838,00","-21,62",80,627.04,627.04
2023-06-28,"7.838,00","7.838,00","7.838,00","7.838,00","0,00",116,909.208,909.208
