Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
30.01.2018,"126,00","126,00","126,00","126,00","2,44",1.172,147.672,147.672
11.05.2018,"126,00","126,00","126,00","126,00","0,00",1.052,132.552,132.552
16.03.2021,"309,00","309,00","309,00","309,00","145,24",1.391,429.819,429.819
13.12.2021,"309,00","309,00","309,00","309,00","0,00",1.196,369.564,369.564
16.12.2021,"309,00","309,00","309,00","309,00","0,00",1.725,533.025,533.025
17.12.2021,"309,00","309,00","309,00","309,00","0,00",100,30.9,30.9
25.04.2023,"309,00","309,00","309,00","309,00","0,00",2.477,765.393,765.393
06.06.2023,"309,00","309,00","309,00","309,00","0,00",923,285.207,285.207
03.07.2023,"309,00","309,00","309,00","309,00","0,00",1.000,309.0,309.0
10.08.2023,"309,00","309,00","309,00","309,00","0,00",1.000,309.0,309.0
12.06.2024,"309,00","309,00","309,00","309,00","0,00",297,91.773,91.773
