Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2015-01-13,"945,00","945,00","945,00","945,00","0,00",114,107.73,107.73
2015-05-08,"945,00","945,00","945,00","945,00","0,00",101,95.445,95.445
2015-07-30,"945,00","945,00","945,00","945,00","0,00",143,135.135,135.135
2015-11-16,"945,00","945,00","945,00","945,00","0,00",47,44.415,44.415
2016-05-19,"945,00","945,00","945,00","945,00","16,67",96,90.72,90.72
2017-04-06,"945,00","945,00","945,00","945,00","0,00",205,193.725,193.725
2017-08-15,"945,00","945,00","945,00","945,00","0,00",149,140.805,140.805
2017-11-29,"945,00","945,00","945,00","945,00","0,00",176,166.32,166.32
2018-06-12,"945,00","945,00","945,00","945,00","0,00",79,74.655,74.655
2019-04-11,"945,00","945,00","945,00","945,00","0,00",105,99.225,99.225
2020-06-25,"973,00","973,00","973,00","973,00","2,96",810,788.13,788.13
