Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-17,"90,00","90,00","90,00","90,00","0,00",218,19.62,19.62
2015-03-24,"90,00","90,00","90,00","90,00","0,00",250,22.5,22.5
2015-10-02,"60,00","60,00","60,00","60,00","-33,33",500,30.0,30.0
2015-11-02,"59,00","59,00","59,00","59,00","-1,67",1.126,66.434,66.434
2015-12-03,"60,00","60,00","60,00","60,00","1,69",2.100,126.0,126.0
2015-12-25,"60,00","60,00","60,00","60,00","0,00",100,6.0,6.0
2015-12-30,"60,00","60,00","60,00","60,00","0,00",10,600.0,600.0
2016-01-28,"60,00","60,00","60,00","60,00","0,00",100,6.0,6.0
2016-03-01,"60,00","60,00","60,00","60,00","0,00",10.456,627.36,627.36
2016-03-28,"120,00","120,00","120,00","120,00","100,00",200,24.0,24.0
2016-03-29,"200,00","200,00","200,00","200,00","66,67",500,100.0,100.0
2016-07-18,"131,00","131,00","131,00","131,00","-34,50",400,52.4,0.0
2016-07-19,"190,00","190,00","190,00","190,00","45,04",30,5.7,5.7
2016-08-12,"195,00","195,00","195,00","195,00","2,63",444,86.58,86.58
2016-08-15,"199,00","199,00","199,00","199,00","2,05",500,99.5,99.5
2016-11-02,"168,00","168,00","168,00","168,00","-15,58",151,25.368,25.368
2016-11-09,"166,00","166,00","166,00","166,00","-1,19",104,17.264,17.264
2016-11-14,"166,00","166,00","166,00","166,00","0,00",100,16.6,16.6
2016-12-02,"121,00","121,00","121,00","121,00","-27,11",85,10.285,10.285
2016-12-19,"159,00","159,00","159,00","159,00","31,40",100,15.9,15.9
2016-12-20,"158,00","158,00","158,00","158,00","-0,63",2.066,326.428,326.428
2016-12-21,"157,00","157,00","157,00","157,00","-0,63",215,33.755,33.755
2017-02-07,"157,00","157,00","157,00","157,00","0,00",205,32.185,32.185
2017-02-14,"177,00","177,00","177,00","177,00","12,74",400,70.8,70.8
2017-02-16,"200,00","200,00","200,00","200,00","12,99",652,130.4,130.4
2017-03-02,"279,00","279,00","279,00","279,00","39,50",400,111.6,111.6
2017-03-06,"288,00","288,00","288,00","288,00","3,23",150,43.2,43.2
2017-03-07,"288,00","288,00","288,00","288,00","0,00",150,43.2,43.2
2017-03-20,"160,00","160,00","160,00","160,00","-44,44",645,103.2,103.2
2017-04-12,"160,00","160,00","160,00","160,00","0,00",150,24.0,24.0
2017-04-13,"170,00","170,00","170,00","170,00","6,25",240,40.8,40.8
2017-05-19,"165,00","165,00","165,00","165,00","-2,94",368,60.72,60.72
2017-06-12,"150,00","150,00","150,00","150,00","-9,09",236,35.4,35.4
2017-06-15,"150,00","150,00","150,00","150,00","0,00",264,39.6,39.6
2017-07-03,"150,00","150,00","150,00","150,00","0,00",524,78.6,78.6
2017-07-11,"154,00","154,00","154,00","154,00","2,67",40,6.16,6.16
2017-07-18,"154,00","154,00","154,00","154,00","0,00",5,770.0,770.0
2017-07-21,"158,00","158,00","158,00","158,00","2,60",45,7.11,7.11
2017-07-25,"200,00","200,00","200,00","200,00","26,58",30,6.0,6.0
2017-07-27,"200,00","200,00","200,00","200,00","0,00",63,12.6,12.6
2017-08-10,"260,00","260,00","260,00","260,00","30,00",150,39.0,39.0
2017-09-25,"143,00","143,00","143,00","143,00","-45,00",100,14.3,14.3
2017-10-06,"152,00","152,00","152,00","152,00","6,29",192,29.184,29.184
2017-10-25,"150,00","150,00","150,00","150,00","-1,32",182,27.3,27.3
2017-11-07,"155,00","155,00","155,00","155,00","3,33",515,79.825,79.825
2017-11-08,"155,00","155,00","155,00","155,00","0,00",865,134.075,134.075
2017-11-09,"155,00","155,00","155,00","155,00","0,00",200,31.0,31.0
2017-12-15,"151,00","151,00","151,00","151,00","-2,58",90,13.59,13.59
2017-12-18,"155,00","155,00","155,00","155,00","2,65",970,150.35,150.35
2018-01-15,"160,00","160,00","160,00","160,00","3,23",111,17.76,17.76
2018-01-17,"200,00","200,00","200,00","200,00","25,00",781,156.2,156.2
2018-01-24,"212,00","212,00","212,00","212,00","6,00",300,63.6,63.6
2018-01-26,"218,00","218,00","218,00","218,00","2,83",795,173.31,173.31
2018-01-30,"230,00","230,00","230,00","230,00","5,50",310,71.3,71.3
2018-01-31,"221,00","221,00","221,00","221,00","-3,91",360,79.56,79.56
2018-02-02,"215,00","215,00","215,00","215,00","-2,71",11,2.365,2.365
2018-02-07,"199,00","199,00","199,00","199,00","-7,44",500,99.5,99.5
2018-02-08,"200,00","200,00","200,00","200,00","0,50",155,31.0,31.0
2018-02-09,"205,00","205,00","205,00","205,00","2,50",1.000,205.0,205.0
2018-03-06,"180,00","180,00","180,00","180,00","-12,20",118,21.24,21.24
2018-03-09,"175,00","175,00","175,00","175,00","-2,78",45,7.875,7.875
2018-03-13,"168,00","168,00","168,00","168,00","-4,00",142,23.856,23.856
2018-03-23,"166,00","168,00","166,00","166,40","-0,95",367,61.068,61.068
2018-03-26,"171,00","171,00","171,00","171,00","2,76",163,27.873,27.873
2018-03-28,"167,00","168,00","167,00","167,12","-2,27",250,41.78,41.78
2018-04-10,"167,00","167,00","167,00","167,00","-0,07",100,16.7,16.7
2018-04-19,"165,00","165,00","165,00","165,00","-1,20",562,92.73,92.73
2018-04-20,"167,00","169,00","167,00","167,71","1,64",564,94.588,94.588
2018-04-27,"180,00","180,00","180,00","180,00","7,33",1.782,320.76,320.76
2018-05-10,"185,00","185,00","185,00","185,00","2,78",700,129.5,129.5
2018-05-11,"200,00","200,00","200,00","200,00","8,11",68,13.6,13.6
2018-05-15,"220,00","220,00","206,00","217,24","8,62",137,29.762,29.762
2018-05-17,"220,00","220,00","220,00","220,00","1,27",52,11.44,11.44
2018-05-18,"238,00","238,00","238,00","238,00","8,18",50,11.9,11.9
2018-05-21,"245,00","245,00","245,00","245,00","2,94",102,24.99,24.99
2018-05-22,"269,00","269,00","252,00","263,29","7,47",350,92.15,92.15
2018-06-05,"256,00","256,00","256,00","256,00","-2,77",150,38.4,38.4
2018-06-08,"237,00","237,00","237,00","237,00","-7,42",690,163.53,163.53
