Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-27,"2.290,00","2.290,00","2.290,00","2.290,00","-2,97",19,43.51,43.51
2014-12-02,"2.300,00","2.300,00","2.300,00","2.300,00","0,44",170,391.0,391.0
2014-12-23,"1.840,00","1.840,00","1.840,00","1.840,00","-20,00",8,14.72,14.72
2015-01-26,"1.840,00","1.840,00","1.840,00","1.840,00","0,00",6,11.04,11.04
2015-02-05,"1.785,00","1.785,00","1.785,00","1.785,00","-2,99",33,58.905,58.905
2015-02-10,"1.732,00","1.732,00","1.732,00","1.732,00","-2,97",8,13.856,13.856
2015-02-11,"1.732,00","1.732,00","1.732,00","1.732,00","0,00",21,36.372,36.372
2015-02-12,"1.732,00","1.732,00","1.732,00","1.732,00","0,00",135,233.82,233.82
2015-02-17,"1.710,00","1.710,00","1.710,00","1.710,00","-1,27",14,23.94,23.94
2015-02-24,"1.720,00","1.720,00","1.720,00","1.720,00","0,58",40,68.8,68.8
2015-03-12,"1.800,00","1.800,00","1.800,00","1.800,00","4,65",5,9.0,9.0
2015-03-16,"1.746,00","1.746,00","1.746,00","1.746,00","-3,00",55,96.03,96.03
2015-03-19,"1.711,00","1.711,00","1.711,00","1.711,00","-2,00",30,51.33,51.33
2015-03-23,"1.711,00","1.711,00","1.711,00","1.711,00","0,00",2,3.422,3.422
2015-04-08,"1.750,00","1.750,00","1.750,00","1.750,00","2,28",20,35.0,35.0
2015-04-09,"1.800,00","1.800,00","1.800,00","1.800,00","2,86",200,360.0,360.0
2015-04-15,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",10,17.5,17.5
2015-04-28,"1.802,00","1.802,00","1.802,00","1.802,00","2,97",15,27.03,27.03
2015-05-08,"1.800,00","1.800,00","1.800,00","1.800,00","-0,11",45,81.0,81.0
2015-05-20,"1.798,00","1.798,00","1.798,00","1.798,00","-0,11",20,35.96,35.96
2015-05-22,"1.745,00","1.745,00","1.745,00","1.745,00","-2,95",95,165.775,165.775
2015-06-01,"1.710,00","1.710,00","1.710,00","1.710,00","-2,01",24,41.04,41.04
2015-06-02,"1.750,00","1.750,00","1.750,00","1.750,00","2,34",46,80.5,80.5
2015-06-05,"1.750,00","1.750,00","1.750,00","1.750,00","0,00",10,17.5,17.5
2015-07-02,"1.711,00","1.711,00","1.711,00","1.711,00","-2,23",100,171.1,171.1
2015-07-08,"1.711,00","1.711,00","1.711,00","1.711,00","0,00",26,44.486,44.486
2015-07-14,"1.711,00","1.711,00","1.711,00","1.711,00","0,00",33,56.463,56.463
2015-07-15,"1.710,00","1.710,00","1.710,00","1.710,00","-0,06",1,1.71,1.71
2015-09-01,"1.680,00","1.680,00","1.680,00","1.680,00","-1,75",28,47.04,47.04
2015-09-02,"1.680,00","1.680,00","1.680,00","1.680,00","0,00",10,16.8,16.8
2015-09-07,"1.680,00","1.680,00","1.680,00","1.680,00","0,00",40,67.2,67.2
2015-09-10,"1.680,00","1.680,00","1.680,00","1.680,00","0,00",22,36.96,36.96
2015-10-14,"1.650,00","1.650,00","1.650,00","1.650,00","-1,79",11,18.15,18.15
2015-10-16,"1.699,00","1.699,00","1.699,00","1.699,00","2,97",19,32.281,32.281
2015-11-04,"1.600,00","1.600,00","1.600,00","1.600,00","-5,83",616,985.6,985.6
2016-02-02,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",246,393.6,393.6
2016-02-12,"1.601,00","1.601,00","1.601,00","1.601,00","0,06",5,8.005,8.005
