Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2015-12-16,"2.000,00","2.000,00","2.000,00","2.000,00","-2,44",10,20.0,20.0
2020-01-17,"1.800,00","1.800,00","1.800,00","1.800,00","-10,00",50,90.0,90.0
2020-01-21,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",167,300.6,300.6
2020-01-22,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",45,81.0,81.0
2020-02-04,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",10,18.0,18.0
2020-06-10,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",19,34.2,0.0
2020-07-14,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",5,9.0,9.0
2020-08-12,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",50,90.0,90.0
2020-09-24,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",223,401.4,401.4
2020-10-06,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",25,45.0,45.0
2020-10-14,"1.801,00","1.801,00","1.801,00","1.801,00","0,06",113,203.513,203.513
2020-11-05,"1.981,00","1.981,00","1.981,00","1.981,00","9,99",20,39.62,39.62
2020-11-24,"2.179,00","2.179,00","2.179,00","2.179,00","9,99",20,43.58,43.58
2020-11-30,"2.222,00","2.222,00","2.222,00","2.222,00","1,97",30,66.66,66.66
2020-12-03,"2.250,00","2.250,00","2.250,00","2.250,00","1,26",20,45.0,45.0
2020-12-30,"2.317,00","2.317,00","2.317,00","2.317,00","2,98",183,424.011,424.011
2021-07-20,"2.317,00","2.317,00","2.317,00","2.317,00","0,00",50,115.85,115.85
2022-04-15,"2.200,00","2.200,00","2.200,00","2.200,00","-5,05",30,66.0,66.0
2024-08-08,"2.199,00","2.199,00","2.199,00","2.199,00","-2,96",403,886.197,886.197
2024-11-11,"6.050,00","6.050,00","6.050,00","6.050,00","175,13",1,6.05,0.0
