Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
27.11.2014,"7.060,00","7.060,00","7.060,00","7.060,00","8,62",35,247.1,247.1
28.11.2014,"7.555,00","7.555,00","7.555,00","7.555,00","7,01",24,181.32,181.32
03.03.2015,"7.329,00","7.329,00","7.329,00","7.329,00","-2,99",13,95.277,95.277
27.05.2015,"7.329,00","7.329,00","7.329,00","7.329,00","0,00",10,73.29,73.29
06.09.2018,"7.110,00","7.110,00","7.110,00","7.110,00","-2,99",40,284.4,284.4
01.03.2021,"9.240,00","9.240,00","9.240,00","9.240,00","29,96",103,951.72,951.72
10.06.2021,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",61,563.64,563.64
01.06.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",10,92.4,92.4
16.08.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",29,267.96,267.96
26.09.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",18,166.32,166.32
04.10.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",91,840.84,840.84
10.10.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",84,776.16,776.16
20.10.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",60,554.4,554.4
22.12.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",25,231.0,231.0
09.03.2023,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",10,92.4,92.4
