Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
21.01.2015,"10.200,00","10.200,00","10.200,00","10.200,00","1,88",1,10.2,10.2
11.02.2015,"10.240,00","10.240,00","10.240,00","10.240,00","0,39",2,20.48,20.48
12.02.2015,"10.240,00","10.240,00","10.240,00","10.240,00","0,00",30,307.2,307.2
27.02.2015,"9.000,00","9.000,00","9.000,00","9.000,00","-12,11",5,45.0,45.0
20.04.2015,"8.730,00","8.730,00","8.730,00","8.730,00","-3,00",3,26.19,26.19
22.04.2015,"8.469,00","8.469,00","8.469,00","8.469,00","-2,99",10,84.69,84.69
10.06.2015,"8.215,00","8.215,00","8.215,00","8.215,00","-3,00",1,8.215,8.215
23.06.2015,"7.969,00","7.969,00","7.969,00","7.969,00","-2,99",5,39.845,39.845
30.06.2015,"8.500,00","8.500,00","8.500,00","8.500,00","6,66",40,340.0,340.0
17.08.2015,"8.000,00","8.000,00","8.000,00","8.000,00","-5,88",5,40.0,40.0
20.08.2015,"8.701,00","8.701,00","8.701,00","8.701,00","8,76",7,60.907,60.907
19.10.2015,"8.700,00","8.700,00","8.700,00","8.700,00","-0,01",44,382.8,382.8
25.02.2016,"8.700,00","8.700,00","8.700,00","8.700,00","0,00",16,139.2,139.2
26.02.2016,"8.700,00","8.700,00","8.700,00","8.700,00","0,00",20,174.0,174.0
29.02.2016,"8.700,00","8.700,00","8.700,00","8.700,00","0,00",23,200.1,200.1
09.03.2016,"8.700,00","8.700,00","8.700,00","8.700,00","0,00",2,17.4,17.4
22.03.2016,"8.700,00","8.700,00","8.700,00","8.700,00","0,00",6,52.2,52.2
06.04.2016,"8.701,00","8.701,00","8.701,00","8.701,00","0,01",4,34.804,34.804
18.04.2016,"8.917,00","8.917,00","8.917,00","8.917,00","2,48",5,44.585,44.585
04.05.2016,"8.701,00","8.701,00","8.701,00","8.701,00","-2,42",10,87.01,87.01
06.06.2016,"8.700,00","8.700,00","8.700,00","8.700,00","-0,01",7,60.9,60.9
