Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
11.12.2014,"86,00","86,00","86,00","86,00","2,38",200,17.2,17.2
23.12.2014,"86,00","86,00","86,00","86,00","0,00",62,5.332,5.332
30.12.2014,"99,00","99,00","99,00","99,00","15,12",400,39.6,39.6
27.01.2015,"87,00","87,00","87,00","87,00","-12,12",15,1.305,1.305
30.01.2015,"87,00","87,00","87,00","87,00","0,00",2.480,215.76,215.76
06.02.2015,"80,00","80,00","80,00","80,00","-8,05",20,1.6,1.6
18.03.2015,"82,00","82,00","82,00","82,00","2,50",200,16.4,16.4
28.04.2015,"80,00","80,00","80,00","80,00","-2,44",90,7.2,7.2
09.06.2015,"100,00","100,00","100,00","100,00","25,00",300,30.0,30.0
31.07.2015,"100,00","100,00","100,00","100,00","0,00",35,3.5,3.5
27.08.2015,"111,00","111,00","111,00","111,00","11,00",1.300,144.3,144.3
04.09.2015,"91,00","91,00","91,00","91,00","-18,02",253,23.023,23.023
14.09.2015,"93,00","93,00","93,00","93,00","2,20",444,41.292,41.292
23.09.2015,"100,00","100,00","100,00","100,00","7,53",697,69.7,69.7
28.09.2015,"103,00","103,00","103,00","103,00","3,00",22,2.266,2.266
02.10.2015,"120,00","120,00","120,00","120,00","16,50",510,61.2,61.2
30.11.2015,"100,00","100,00","100,00","100,00","-16,67",50,5.0,5.0
09.12.2015,"100,00","100,00","100,00","100,00","0,00",50,5.0,5.0
15.07.2016,"97,00","97,00","97,00","97,00","-3,00",130,12.61,12.61
05.09.2016,"98,00","98,00","98,00","98,00","1,03",32,3.136,3.136
18.10.2016,"107,00","107,00","107,00","107,00","9,18",700,74.9,74.9
19.10.2016,"117,00","117,00","117,00","117,00","9,35",66,7.722,7.722
21.10.2016,"140,00","140,00","140,00","140,00","19,66",450,63.0,63.0
26.10.2016,"150,00","150,00","150,00","150,00","7,14",50,7.5,7.5
27.10.2016,"146,00","146,00","146,00","146,00","-2,67",50,7.3,7.3
31.10.2016,"146,00","146,00","146,00","146,00","0,00",683,99.718,99.718
09.01.2017,"142,00","142,00","142,00","142,00","-2,74",610,86.62,86.62
11.01.2017,"142,00","142,00","142,00","142,00","0,00",330,46.86,46.86
12.01.2017,"141,00","141,00","141,00","141,00","-0,70",183,25.803,25.803
10.02.2017,"157,00","157,00","157,00","157,00","11,35",58,9.106,9.106
01.03.2017,"153,00","153,00","153,00","153,00","-2,55",108,16.524,16.524
09.03.2017,"157,00","157,00","157,00","157,00","2,61",290,45.53,45.53
15.03.2017,"161,00","161,00","161,00","161,00","2,55",517,83.237,83.237
23.03.2017,"157,00","157,00","157,00","157,00","-2,48",30,4.71,4.71
20.04.2017,"161,00","161,00","161,00","161,00","2,55",200,32.2,32.2
25.04.2017,"165,00","165,00","165,00","165,00","2,48",100,16.5,16.5
05.05.2017,"169,00","169,00","169,00","169,00","2,42",470,79.43,79.43
16.05.2017,"170,00","170,00","170,00","170,00","0,59",160,27.2,27.2
