Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
09.12.2014,"2.505,00","2.505,00","2.505,00","2.505,00","13,76",10,25.05,25.05
12.02.2015,"2.501,00","2.501,00","2.501,00","2.501,00","-0,16",181,452.681,452.681
16.04.2015,"2.650,00","2.650,00","2.650,00","2.650,00","5,96",5,13.25,13.25
13.05.2015,"2.500,00","2.500,00","2.500,00","2.500,00","-5,66",1,2.5,2.5
18.06.2015,"2.500,00","2.500,00","2.500,00","2.500,00","0,00",10,25.0,25.0
31.05.2016,"3.410,00","3.410,00","3.410,00","3.410,00","36,40",20,68.2,68.2
30.09.2016,"5.001,00","5.001,00","5.001,00","5.001,00","46,66",1,5.001,5.001
06.10.2016,"6.001,00","6.001,00","6.001,00","6.001,00","20,00",2,12.002,12.002
07.10.2016,"6.000,00","6.000,00","6.000,00","6.000,00","-0,02",49,294.0,294.0
10.10.2016,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",51,306.0,306.0
13.10.2016,"6.501,00","6.501,00","6.501,00","6.501,00","8,35",20,130.02,130.02
17.10.2016,"7.000,00","7.000,00","7.000,00","7.000,00","7,68",4,28.0,28.0
19.10.2016,"7.000,00","7.000,00","7.000,00","7.000,00","0,00",11,77.0,77.0
20.10.2016,"7.200,00","7.200,00","7.200,00","7.200,00","2,86",21,151.2,151.2
27.10.2016,"7.501,00","7.501,00","7.501,00","7.501,00","4,18",22,165.022,165.022
28.10.2016,"8.151,00","8.151,00","8.151,00","8.151,00","8,67",15,122.265,122.265
03.11.2016,"9.005,00","9.005,00","9.005,00","9.005,00","10,48",10,90.05,90.05
18.11.2016,"8.001,00","8.001,00","8.001,00","8.001,00","-11,15",1,8.001,8.001
24.11.2016,"8.001,00","8.001,00","8.001,00","8.001,00","0,00",10,80.01,80.01
25.11.2016,"8.031,00","8.031,00","8.031,00","8.031,00","0,37",10,80.31,80.31
01.12.2016,"8.505,00","8.505,00","8.505,00","8.505,00","5,90",30,255.15,255.15
23.12.2016,"8.000,00","8.000,00","8.000,00","8.000,00","-5,94",20,160.0,160.0
04.01.2017,"8.500,00","8.500,00","8.500,00","8.500,00","6,25",13,110.5,110.5
05.01.2017,"8.500,00","8.500,00","8.500,00","8.500,00","0,00",2,17.0,17.0
26.01.2017,"9.350,00","9.350,00","9.350,00","9.350,00","10,00",2,18.7,18.7
27.01.2017,"9.900,00","9.900,00","9.900,00","9.900,00","5,88",10,99.0,99.0
30.01.2017,"10.800,00","10.800,00","10.800,00","10.800,00","9,09",4,43.2,43.2
31.01.2017,"10.800,00","10.800,00","10.800,00","10.800,00","0,00",7,75.6,75.6
17.02.2017,"11.100,00","11.100,00","11.100,00","11.100,00","2,78",5,55.5,55.5
07.03.2017,"11.500,00","11.500,00","11.500,00","11.500,00","3,60",15,172.5,172.5
