Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
20.11.2014,"16,00","16,00","16,00","16,00","6,67",1.000,16.0,16.0
10.12.2014,"16,00","16,00","16,00","16,00","0,00",7.000,112.0,112.0
16.12.2014,"16,00","16,00","16,00","16,00","0,00",2.000,32.0,32.0
28.04.2015,"16,00","16,00","16,00","16,00","0,00",5.000,80.0,80.0
16.06.2015,"15,00","15,00","15,00","15,00","-6,25",5.000,75.0,75.0
19.06.2015,"15,00","15,00","15,00","15,00","0,00",10.000,150.0,150.0
29.06.2015,"14,00","14,00","14,00","14,00","-6,67",15.000,210.0,210.0
19.08.2015,"13,00","13,00","13,00","13,00","-7,14",200,2.6,2.6
26.11.2015,"13,00","13,00","13,00","13,00","0,00",110,1.43,1.43
23.12.2015,"13,00","13,00","13,00","13,00","0,00",400,5.2,5.2
04.01.2016,"12,00","12,00","12,00","12,00","-7,69",3.977,47.724,47.724
11.01.2016,"12,00","12,00","12,00","12,00","0,00",500,6.0,6.0
12.01.2016,"12,00","12,00","12,00","12,00","0,00",775,9.3,9.3
04.02.2016,"12,00","12,00","12,00","12,00","0,00",4.200,50.4,50.4
15.02.2016,"12,00","12,00","12,00","12,00","0,00",900,10.8,10.8
27.05.2016,"12,00","12,00","12,00","12,00","0,00",2.100,25.2,25.2
29.06.2016,"12,00","12,00","12,00","12,00","0,00",500,6.0,6.0
15.08.2016,"12,00","12,00","12,00","12,00","0,00",1.300,15.6,15.6
23.08.2016,"12,00","12,00","12,00","12,00","0,00",452,5.424,5.424
24.08.2016,"12,00","12,00","12,00","12,00","0,00",548,6.576,6.576
25.08.2016,"13,00","13,00","13,00","13,00","8,33",752,9.776,9.776
05.09.2016,"15,00","15,00","15,00","15,00","15,38",200,3.0,3.0
28.10.2016,"15,00","15,00","15,00","15,00","0,00",290,4.35,4.35
03.11.2016,"12,00","12,00","12,00","12,00","-20,00",2.000,24.0,24.0
31.01.2017,"12,00","12,00","12,00","12,00","0,00",150,1.8,1.8
03.05.2017,"10,00","10,00","10,00","10,00","-16,67",1.000,10.0,10.0
25.07.2017,"12,00","12,00","12,00","12,00","20,00",100,1.2,1.2
05.09.2017,"13,00","13,00","13,00","13,00","8,33",3.000,39.0,39.0
13.09.2017,"14,00","14,00","14,00","14,00","7,69",200,2.8,2.8
05.10.2017,"12,00","12,00","12,00","12,00","-14,29",280,3.36,3.36
06.10.2017,"15,00","15,00","15,00","15,00","25,00",3.794,56.91,56.91
08.11.2017,"15,00","15,00","15,00","15,00","0,00",3.000,45.0,45.0
27.03.2018,"11,00","11,00","11,00","11,00","-26,67",1.600,17.6,17.6
28.03.2018,"11,00","11,00","11,00","11,00","0,00",470,5.17,5.17
30.03.2018,"11,00","11,00","11,00","11,00","0,00",470,5.17,5.17
09.05.2018,"12,00","12,00","12,00","12,00","9,09",2.800,33.6,33.6
11.05.2018,"13,00","13,00","13,00","13,00","8,33",1.000,13.0,13.0
29.05.2018,"14,00","14,00","14,00","14,00","7,69",1.200,16.8,16.8
11.06.2018,"14,00","14,00","14,00","14,00","0,00",1.300,18.2,18.2
13.06.2018,"14,00","14,00","14,00","14,00","0,00",1.000,14.0,14.0
19.06.2018,"14,00","14,00","14,00","14,00","0,00",341,4.774,4.774
22.06.2018,"15,00","15,00","15,00","15,00","7,14",4.000,60.0,60.0
02.07.2018,"15,00","15,00","15,00","15,00","0,00",500,7.5,7.5
04.07.2018,"14,00","14,00","14,00","14,00","-6,67",60,840.0,840.0
12.07.2018,"14,00","14,00","14,00","14,00","0,00",1.000,14.0,14.0
13.07.2018,"15,00","15,00","15,00","15,00","7,14",300,4.5,4.5
16.07.2018,"19,00","19,00","19,00","19,00","26,67",5.900,112.1,112.1
01.08.2018,"20,00","20,00","20,00","20,00","5,26",1.300,26.0,26.0
16.08.2018,"20,00","20,00","20,00","20,00","0,00",1.000,20.0,20.0
08.11.2018,"20,00","20,00","20,00","20,00","0,00",1.000,20.0,20.0
09.11.2018,"20,00","20,00","20,00","20,00","0,00",1.162,23.24,23.24
21.12.2018,"20,00","20,00","20,00","20,00","0,00",100,2.0,2.0
18.02.2019,"25,00","25,00","25,00","25,00","25,00",300,7.5,7.5
21.05.2019,"24,00","24,00","24,00","24,00","-4,00",500,12.0,12.0
15.11.2019,"21,00","21,00","21,00","21,00","-12,50",1.250,26.25,26.25
10.07.2020,"16,00","16,00","16,00","16,00","-23,81",500,8.0,8.0
24.06.2021,"16,00","16,00","16,00","16,00","0,00",1.300,20.8,20.8
05.11.2021,"16,00","16,00","16,00","16,00","0,00",2.200,35.2,35.2
23.11.2021,"16,00","16,00","16,00","16,00","0,00",11.000,176.0,176.0
21.12.2022,"16,00","16,00","16,00","16,00","0,00",42.472,679.552,679.552
19.07.2023,"16,00","16,00","16,00","16,00","0,00",4.105,65.68,65.68
30.01.2024,"16,00","16,00","16,00","16,00","0,00",1.000,16.0,16.0
04.04.2024,"16,00","16,00","16,00","16,00","0,00",5.481,87.696,87.696
13.05.2024,"16,00","16,00","16,00","16,00","0,00",1.600,25.6,25.6
03.06.2024,"16,00","16,00","16,00","16,00","0,00",300,4.8,4.8
20.06.2024,"16,00","16,00","16,00","16,00","0,00",1.000,16.0,16.0
29.07.2024,"16,00","16,00","16,00","16,00","0,00",1.500,24.0,24.0
03.09.2024,"16,00","16,00","16,00","16,00","0,00",2.000,32.0,32.0
24.09.2024,"16,00","16,00","16,00","16,00","0,00",5.000,80.0,80.0
07.10.2024,"16,00","16,00","16,00","16,00","0,00",5.000,80.0,80.0
25.10.2024,"16,00","16,00","16,00","16,00","0,00",5.000,80.0,80.0
