Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
20.11.2014,"104,00","104,00","104,00","104,00","2,97",159,16.536,16.536
26.11.2014,"100,00","100,00","100,00","100,00","-3,85",1.341,134.1,134.1
02.12.2014,"100,00","100,00","100,00","100,00","0,00",200,20.0,20.0
04.12.2014,"91,00","91,00","91,00","91,00","-9,00",109,9.919,9.919
10.12.2014,"81,00","81,00","81,00","81,00","-10,99",900,72.9,72.9
11.12.2014,"83,00","83,00","83,00","83,00","2,47",836,69.388,69.388
16.12.2014,"83,00","83,00","83,00","83,00","0,00",345,28.635,28.635
18.12.2014,"85,00","85,00","85,00","85,00","2,41",527,44.795,44.795
24.12.2014,"83,00","83,00","83,00","83,00","-2,35",255,21.165,21.165
16.01.2015,"83,00","83,00","83,00","83,00","0,00",575,47.725,47.725
20.01.2015,"85,00","85,00","85,00","85,00","2,41",300,25.5,25.5
22.01.2015,"85,00","85,00","85,00","85,00","0,00",100,8.5,8.5
27.01.2015,"85,00","85,00","85,00","85,00","0,00",114,9.69,9.69
28.01.2015,"85,00","85,00","85,00","85,00","0,00",295,25.075,25.075
02.02.2015,"87,00","87,00","87,00","87,00","2,35",454,39.498,39.498
03.02.2015,"87,00","87,00","87,00","87,00","0,00",246,21.402,21.402
05.02.2015,"84,00","84,00","84,00","84,00","-3,45",1.450,121.8,121.8
12.02.2015,"85,00","85,00","85,00","85,00","1,19",179,15.215,15.215
18.02.2015,"85,00","85,00","85,00","85,00","0,00",45,3.825,3.825
19.02.2015,"83,00","83,00","83,00","83,00","-2,35",286,23.738,23.738
03.03.2015,"82,00","82,00","82,00","82,00","-1,20",32,2.624,2.624
13.03.2015,"89,00","89,00","89,00","89,00","8,54",100,8.9,8.9
09.04.2015,"80,00","80,00","80,00","80,00","-10,11",229,18.32,18.32
05.05.2015,"85,00","85,00","85,00","85,00","6,25",250,21.25,21.25
14.05.2015,"85,00","85,00","85,00","85,00","0,00",300,25.5,25.5
15.05.2015,"88,00","88,00","88,00","88,00","3,53",60,5.28,5.28
24.06.2015,"75,00","75,00","75,00","75,00","-14,77",200,15.0,15.0
25.06.2015,"80,00","80,00","80,00","80,00","6,67",155,12.4,12.4
15.07.2015,"65,00","65,00","65,00","65,00","-18,75",40,2.6,2.6
19.08.2015,"68,00","68,00","68,00","68,00","4,62",30,2.04,2.04
