Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
20.11.2014,"70,00","70,00","70,00","70,00","0,00",420,29.4,29.4
26.11.2014,"70,00","70,00","70,00","70,00","0,00",263,18.41,18.41
02.12.2014,"70,00","70,00","70,00","70,00","0,00",304,21.28,21.28
09.12.2014,"70,00","70,00","70,00","70,00","0,00",350,24.5,24.5
18.12.2014,"70,00","70,00","70,00","70,00","0,00",620,43.4,43.4
09.01.2015,"70,00","70,00","70,00","70,00","0,00",250,17.5,17.5
13.02.2015,"70,00","70,00","70,00","70,00","0,00",670,46.9,46.9
10.11.2015,"70,00","70,00","70,00","70,00","0,00",270,18.9,18.9
11.04.2016,"70,00","70,00","70,00","70,00","0,00",182,12.74,12.74
15.10.2018,"70,00","70,00","70,00","70,00","0,00",300,21.0,21.0
05.11.2018,"70,00","70,00","70,00","70,00","0,00",250,17.5,17.5
21.01.2019,"70,00","70,00","70,00","70,00","0,00",300,21.0,21.0
22.01.2019,"70,00","70,00","70,00","70,00","0,00",450,31.5,31.5
13.03.2019,"70,00","70,00","70,00","70,00","0,00",313,21.91,21.91
29.09.2020,"70,00","70,00","70,00","70,00","0,00",234,16.38,16.38
06.11.2020,"70,00","70,00","70,00","70,00","0,00",320,22.4,22.4
09.02.2021,"70,00","70,00","70,00","70,00","0,00",4.082,285.74,285.74
15.06.2023,"70,00","70,00","70,00","70,00","0,00",234,16.38,16.38
