Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
18.11.2014,"9.000,00","9.000,00","9.000,00","9.000,00","-0,51",15,135.0,135.0
19.11.2014,"8.730,00","8.730,00","8.730,00","8.730,00","-3,00",10,87.3,87.3
20.11.2014,"8.470,00","8.470,00","8.469,00","8.469,86","-2,98",74,626.77,626.77
24.11.2014,"8.400,00","8.400,00","8.300,00","8.328,57","-1,67",70,583.0,583.0
25.11.2014,"8.370,00","8.370,00","8.370,00","8.370,00","0,50",27,225.99,225.99
26.11.2014,"8.330,00","8.330,00","8.310,00","8.320,00","-0,60",40,332.8,332.8
02.12.2014,"8.199,00","8.250,00","8.199,00","8.209,73","-1,33",75,615.73,615.73
04.12.2014,"8.199,00","8.199,00","8.199,00","8.199,00","-0,13",40,327.96,327.96
12.12.2014,"8.200,00","8.200,00","8.200,00","8.200,00","2,31",38,311.6,311.6
18.12.2014,"8.278,00","8.278,00","8.200,00","8.239,00","0,48",30,247.17,247.17
19.12.2014,"8.100,00","8.100,00","8.100,00","8.100,00","-1,69",10,81.0,81.0
22.12.2014,"8.100,00","8.100,00","8.100,00","8.100,00","0,00",5,40.5,40.5
23.12.2014,"8.250,00","8.250,00","8.100,00","8.200,00","1,23",30,246.0,246.0
24.12.2014,"8.050,00","8.050,00","8.050,00","8.050,00","-1,83",3,24.15,24.15
25.12.2014,"8.250,00","8.250,00","8.250,00","8.250,00","2,48",2,16.5,16.5
29.12.2014,"8.150,00","8.249,00","8.149,00","8.187,20","-0,76",61,499.419,499.419
30.12.2014,"8.370,00","8.370,00","8.370,00","8.370,00","2,23",3,25.11,25.11
05.01.2015,"8.300,00","8.300,00","8.300,00","8.300,00","-0,84",7,58.1,58.1
08.01.2015,"8.299,00","8.299,00","8.299,00","8.299,00","-0,01",11,91.289,91.289
12.01.2015,"8.250,00","8.250,00","8.249,00","8.249,80","-0,59",25,206.245,206.245
14.01.2015,"8.093,00","8.093,00","8.090,00","8.091,71","-1,92",21,169.926,169.926
15.01.2015,"8.240,00","8.240,00","8.240,00","8.240,00","1,83",30,247.2,247.2
20.01.2015,"8.050,00","8.050,00","8.050,00","8.050,00","-2,31",20,161.0,161.0
21.01.2015,"8.000,00","8.244,00","8.000,00","8.061,00","0,14",80,644.88,644.88
22.01.2015,"8.040,00","8.040,00","8.000,00","8.022,86","-0,47",35,280.8,280.8
27.01.2015,"8.149,00","8.149,00","8.149,00","8.149,00","1,57",10,81.49,81.49
03.02.2015,"7.998,00","7.998,00","7.998,00","7.998,00","-1,85",15,119.97,119.97
06.02.2015,"7.600,00","7.600,00","7.600,00","7.600,00","-4,98",25,190.0,190.0
17.02.2015,"7.546,00","7.546,00","7.546,00","7.546,00","0,00",119,897.974,897.974
18.02.2015,"7.546,00","7.546,00","7.546,00","7.546,00","0,00",30,226.38,226.38
19.02.2015,"7.560,00","7.564,00","7.560,00","7.560,92","0,20",13,98.292,98.292
24.02.2015,"7.560,00","7.560,00","7.560,00","7.560,00","-0,01",10,75.6,75.6
04.03.2015,"7.400,00","7.400,00","7.400,00","7.400,00","-2,12",130,962.0,962.0
05.03.2015,"7.560,00","7.560,00","7.500,00","7.523,62","1,67",127,955.5,955.5
09.03.2015,"7.560,00","7.560,00","7.560,00","7.560,00","0,48",7,52.92,52.92
11.03.2015,"7.560,00","7.560,00","7.560,00","7.560,00","0,00",38,287.28,287.28
13.03.2015,"7.560,00","7.560,00","7.560,00","7.560,00","0,00",61,461.16,461.16
16.03.2015,"7.334,00","7.334,00","7.334,00","7.334,00","-2,99",30,220.02,220.02
25.03.2015,"7.200,00","7.200,00","7.200,00","7.200,00","-1,83",10,72.0,72.0
30.03.2015,"7.700,00","7.700,00","7.200,00","7.318,18","1,64",110,805.0,805.0
09.04.2015,"8.000,00","8.000,00","7.801,00","7.862,76","7,44",29,228.02,228.02
15.04.2015,"7.850,00","7.850,00","7.850,00","7.850,00","-0,16",5,39.25,39.25
17.04.2015,"8.199,00","8.199,00","8.199,00","8.199,00","4,45",7,57.393,57.393
20.04.2015,"8.200,00","8.200,00","8.200,00","8.200,00","0,01",15,123.0,123.0
21.04.2015,"8.300,00","8.300,00","8.250,00","8.275,00","0,91",30,248.25,248.25
23.04.2015,"8.300,00","8.300,00","8.300,00","8.300,00","0,30",30,249.0,249.0
27.04.2015,"8.060,00","8.060,00","8.060,00","8.060,00","-2,89",10,80.6,80.6
13.05.2015,"8.060,00","8.060,00","8.060,00","8.060,00","0,00",50,403.0,403.0
15.05.2015,"8.060,00","8.060,00","8.060,00","8.060,00","0,00",30,241.8,241.8
18.05.2015,"8.070,00","8.070,00","8.070,00","8.070,00","0,12",2,16.14,16.14
19.05.2015,"8.070,00","8.070,00","8.070,00","8.070,00","0,00",15,121.05,0.0
20.05.2015,"8.050,00","8.070,00","8.050,00","8.053,33","-0,21",42,338.24,338.24
26.05.2015,"7.900,00","7.900,00","7.900,00","7.900,00","-1,90",10,79.0,79.0
03.06.2015,"7.812,00","7.812,00","7.812,00","7.812,00","-1,11",14,109.368,109.368
09.06.2015,"7.701,00","7.705,00","7.701,00","7.704,20","-1,38",20,154.084,154.084
10.06.2015,"7.700,00","7.701,00","7.700,00","7.700,30","-0,05",27,207.908,207.908
16.06.2015,"7.700,00","7.700,00","7.700,00","7.700,00","0,00",1,7.7,7.7
19.06.2015,"7.900,00","7.900,00","7.900,00","7.900,00","2,60",16,126.4,126.4
25.06.2015,"8.000,00","8.000,00","7.999,00","7.999,72","1,26",69,551.981,551.981
09.07.2015,"7.850,00","7.990,00","7.850,00","7.902,50","-1,22",40,316.1,316.1
10.07.2015,"7.790,00","7.849,00","7.790,00","7.834,25","-0,86",20,156.685,156.685
14.07.2015,"7.899,00","7.899,00","7.899,00","7.899,00","0,83",15,118.485,118.485
16.07.2015,"7.900,00","7.900,00","7.890,00","7.895,00","-0,05",40,315.8,315.8
20.07.2015,"7.761,00","7.761,00","7.761,00","7.761,00","-1,70",5,38.805,38.805
30.07.2015,"7.761,00","8.000,00","7.761,00","7.940,25","2,31",40,317.61,317.61
07.08.2015,"7.801,00","7.801,00","7.801,00","7.801,00","-1,75",21,163.821,163.821
11.08.2015,"7.801,00","7.801,00","7.801,00","7.801,00","0,00",12,93.612,93.612
