Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
14.10.2016,"161,00","161,00","161,00","161,00","61,00",194,31.234,31.234
02.11.2016,"157,00","157,00","157,00","157,00","-2,48",124,19.468,19.468
18.01.2018,"153,00","153,00","153,00","153,00","-2,55",55,8.415,8.415
23.01.2018,"153,00","153,00","153,00","153,00","0,00",17,2.601,2.601
18.07.2018,"157,00","157,00","157,00","157,00","2,61",422,66.254,66.254
16.03.2020,"157,00","157,00","157,00","157,00","0,00",280,43.96,43.96
10.03.2022,"1.000,00","1.000,00","1.000,00","1.000,00","536,94",20,20.0,20.0
30.03.2022,"1.030,00","1.030,00","1.030,00","1.030,00","3,00",24,24.72,24.72
14.04.2022,"1.000,00","1.000,00","1.000,00","1.000,00","-2,91",32,32.0,32.0
13.12.2022,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",266,266.0,266.0
17.02.2023,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",18,18.0,18.0
02.05.2023,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",18,18.0,18.0
19.05.2023,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",15,15.0,15.0
01.06.2023,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",49,49.0,49.0
27.03.2024,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",39,39.0,39.0
18.10.2024,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",36,36.0,36.0
07.11.2024,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",126,126.0,126.0
