Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
19.11.2014,"700,00","700,00","700,00","700,00","-1,27",80,56.0,56.0
22.01.2015,"650,00","650,00","650,00","650,00","-7,14",96,62.4,62.4
30.01.2015,"650,00","650,00","650,00","650,00","0,00",32,20.8,20.8
03.02.2015,"631,00","631,00","631,00","631,00","-2,92",893,563.483,563.483
11.02.2015,"631,00","631,00","631,00","631,00","0,00",83,52.373,52.373
18.02.2015,"600,00","600,00","600,00","600,00","-4,91",67,40.2,40.2
19.02.2015,"600,00","600,00","600,00","600,00","0,00",120,72.0,72.0
23.02.2015,"582,00","582,00","582,00","582,00","-3,00",100,58.2,58.2
02.03.2015,"565,00","565,00","565,00","565,00","-2,92",100,56.5,56.5
03.03.2015,"565,00","565,00","565,00","565,00","0,00",35,19.775,19.775
18.03.2015,"565,00","565,00","565,00","565,00","0,00",7,3.955,3.955
20.03.2015,"565,00","565,00","565,00","565,00","0,00",55,31.075,31.075
24.03.2015,"565,00","565,00","565,00","565,00","0,00",91,51.415,51.415
25.03.2015,"485,00","485,00","485,00","485,00","-14,16",57,27.645,27.645
03.04.2015,"485,00","485,00","485,00","485,00","0,00",344,166.84,166.84
08.04.2015,"471,00","471,00","471,00","471,00","-2,89",95,44.745,44.745
16.04.2015,"471,00","471,00","471,00","471,00","0,00",59,27.789,27.789
07.05.2015,"490,00","490,00","490,00","490,00","4,03",1.118,547.82,547.82
11.05.2015,"490,00","490,00","490,00","490,00","0,00",35,17.15,17.15
08.06.2015,"490,00","490,00","490,00","490,00","0,00",44,21.56,21.56
30.07.2015,"504,00","504,00","504,00","504,00","2,86",13,6.552,6.552
03.09.2015,"518,00","518,00","518,00","518,00","2,78",55,28.49,28.49
09.09.2015,"503,00","503,00","503,00","503,00","-2,90",100,50.3,50.3
26.10.2015,"503,00","503,00","503,00","503,00","0,00",292,146.876,146.876
30.10.2015,"503,00","503,00","503,00","503,00","0,00",1.115,560.845,560.845
03.11.2015,"526,00","526,00","526,00","526,00","4,57",240,126.24,126.24
13.11.2015,"543,00","543,00","543,00","543,00","19,87",35,19.005,19.005
17.11.2015,"550,00","550,00","550,00","550,00","1,29",100,55.0,55.0
18.11.2015,"550,00","550,00","550,00","550,00","0,00",16,8.8,8.8
19.11.2015,"550,00","550,00","550,00","550,00","0,00",370,203.5,203.5
24.11.2015,"550,00","550,00","550,00","550,00","0,00",80,44.0,44.0
