Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
20.11.2014,"22.850,00","22.850,00","22.850,00","22.850,00","1,56",10,228.5,228.5
22.01.2015,"19.000,00","19.000,00","19.000,00","19.000,00","-16,85",1,19.0,19.0
11.02.2015,"18.500,00","18.500,00","18.500,00","18.500,00","-2,63",11,203.5,203.5
09.03.2015,"18.000,00","18.000,00","18.000,00","18.000,00","-2,70",6,108.0,108.0
10.03.2015,"17.499,00","17.499,00","17.499,00","17.499,00","-2,78",34,594.966,594.966
13.03.2015,"17.498,00","17.498,00","17.498,00","17.498,00","-0,01",3,52.494,52.494
30.03.2015,"17.000,00","17.000,00","17.000,00","17.000,00","-2,85",18,306.0,306.0
31.03.2015,"17.000,00","17.000,00","17.000,00","17.000,00","0,00",28,476.0,476.0
02.04.2015,"17.000,00","17.000,00","17.000,00","17.000,00","0,00",3,51.0,51.0
03.04.2015,"17.000,00","17.000,00","17.000,00","17.000,00","0,00",12,204.0,204.0
15.04.2015,"17.510,00","17.510,00","17.510,00","17.510,00","3,00",15,262.65,262.65
16.04.2015,"18.000,00","18.000,00","18.000,00","18.000,00","2,80",22,396.0,396.0
22.04.2015,"18.000,00","18.000,00","18.000,00","18.000,00","0,00",2,36.0,36.0
28.04.2015,"21.600,00","21.600,00","21.600,00","21.600,00","20,00",1,21.6,21.6
20.05.2015,"21.000,00","21.000,00","21.000,00","21.000,00","-2,78",27,567.0,567.0
21.05.2015,"21.500,00","21.500,00","21.500,00","21.500,00","2,38",20,430.0,430.0
02.06.2015,"21.000,00","21.000,00","21.000,00","21.000,00","-2,33",9,189.0,189.0
07.09.2015,"19.010,00","19.010,00","19.010,00","19.010,00","-9,48",3,57.03,57.03
17.09.2015,"21.997,00","21.997,00","21.997,00","21.997,00","15,71",6,131.982,131.982
19.10.2015,"22.000,00","22.000,00","22.000,00","22.000,00","0,00",2,44.0,44.0
20.10.2015,"22.000,00","22.000,00","22.000,00","22.000,00","0,00",12,264.0,264.0
22.10.2015,"22.000,00","22.000,00","22.000,00","22.000,00","0,00",2,44.0,44.0
27.10.2015,"22.000,00","22.000,00","22.000,00","22.000,00","0,00",5,110.0,110.0
10.11.2015,"22.000,00","22.000,00","22.000,00","22.000,00","0,00",10,220.0,220.0
24.11.2015,"22.000,00","22.000,00","22.000,00","22.000,00","0,00",2,44.0,44.0
25.11.2015,"22.000,00","22.000,00","22.000,00","22.000,00","0,00",4,88.0,88.0
27.11.2015,"21.500,00","21.500,00","21.500,00","21.500,00","-2,27",7,150.5,150.5
09.12.2015,"21.000,00","21.000,00","21.000,00","21.000,00","-2,33",3,63.0,63.0
17.12.2015,"20.500,00","20.500,00","20.500,00","20.500,00","-2,38",7,143.5,143.5
30.12.2015,"20.101,00","20.101,00","20.101,00","20.101,00","-1,95",10,201.01,201.01
21.01.2016,"20.101,00","20.101,00","20.101,00","20.101,00","0,00",10,201.01,201.01
