Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
23.12.2014,"3.900,00","3.900,00","3.900,00","3.900,00","0,00",8,31.2,31.2
12.02.2015,"2.350,00","2.350,00","2.350,00","2.350,00","-39,74",36,84.6,84.6
18.11.2016,"2.280,00","2.280,00","2.280,00","2.280,00","-2,98",8,18.24,18.24
21.07.2017,"14.000,00","14.000,00","14.000,00","14.000,00","514,04",52,728.0,728.0
25.07.2017,"14.000,00","14.000,00","14.000,00","14.000,00","0,00",20,280.0,280.0
12.02.2018,"13.580,00","13.580,00","13.580,00","13.580,00","-3,00",4,54.32,54.32
07.03.2018,"14.250,00","14.250,00","14.250,00","14.250,00","4,93",1,14.25,0.0
16.04.2018,"14.250,00","14.250,00","14.250,00","14.250,00","0,00",12,171.0,171.0
19.04.2018,"14.640,00","14.640,00","14.640,00","14.640,00","2,74",32,468.48,468.48
08.10.2018,"14.640,00","14.640,00","14.640,00","14.640,00","0,00",8,117.12,117.12
12.12.2018,"14.640,00","14.640,00","14.640,00","14.640,00","0,00",30,439.2,439.2
05.02.2019,"14.640,00","14.640,00","14.640,00","14.640,00","0,00",28,409.92,409.92
01.08.2019,"14.640,00","14.640,00","14.640,00","14.640,00","0,00",32,468.48,468.48
12.11.2020,"11.000,00","11.000,00","11.000,00","11.000,00","-24,86",90,990.0,990.0
24.06.2021,"11.000,00","11.000,00","11.000,00","11.000,00","0,00",62,682.0,682.0
11.04.2023,"7.838,00","7.838,00","7.838,00","7.838,00","-21,62",80,627.04,627.04
28.06.2023,"7.838,00","7.838,00","7.838,00","7.838,00","0,00",116,909.208,909.208
